Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
BBVACOL,2006-07-24,37979,47725,398,361,2963,359,0,460
BBVACOL,2006-07-25,6337,11829,347,361,2963,359,-4,352
BBVACOL,2006-07-26,1,1,347,1,1,1,0,460
BBVACOL,2006-07-27,33392,43348,463,475,3121,249,917,569
BBVACOL,2006-07-28,7983,15885,489,501,4953,464,229,762
BBVACOL,2006-07-31,1,1,489,1,1,1,0,460
BBVACOL,2006-08-01,1,1,489,1,1,1,0,460
BBVACOL,2006-08-02,1,1,489,1,1,1,0,460
BBVACOL,2006-08-03,34333,45156,416,428,3890,379,-522,403
BBVACOL,2006-08-04,12736,20091,416,389,3427,388,0,460
BBVACOL,2006-08-08,1,1,416,1,1,1,0,460
BBVACOL,2006-08-09,22111,29933,416,320,2424,316,0,460
BBVACOL,2006-08-10,1,1,416,1,1,1,0,460
BBVACOL,2006-08-11,36682,47308,398,408,3737,409,-157,195
BBVACOL,2006-08-14,35385,45812,389,408,3585,399,-08,75
BBVACOL,2006-08-15,24095,33587,389,408,3737,409,0,460
BBVACOL,2006-08-16,16316,24669,389,408,3737,409,0,460
BBVACOL,2006-08-17,9423,15768,389,408,3265,316,0,460
BBVACOL,2006-08-18,1,1,389,1,1,1,0,460
BBVACOL,2006-08-22,11850,17813,319,330,2426,316,-484,383
BBVACOL,2006-08-23,1,1,319,1,1,1,0,460
BBVACOL,2006-08-24,1,1,319,1,1,1,0,460
BBVACOL,2006-08-25,37122,46715,347,361,2743,328,169,679
BBVACOL,2006-08-28,21734,30122,359,372,2965,359,083,537
BBVACOL,2006-08-29,1,1,359,1,1,1,0,460
BBVACOL,2006-08-30,1,1,359,1,1,1,0,460
BBVACOL,2006-08-31,1,1,359,1,1,1,0,460
BBVACOL,2006-09-01,32821,42666,369,380,3264,379,083,537
BBVACOL,2006-09-04,1,1,369,1,1,1,0,460
BBVACOL,2006-09-05,10456,16803,359,372,3114,371,-082,75
BBVACOL,2006-09-06,1,1,359,1,1,1,0,460
BBVACOL,2006-09-07,1,1,359,1,1,1,0,460
BBVACOL,2006-09-08,23478,31812,359,340,2741,339,0,460
BBVACOL,2006-09-11,6,4131,359,340,2741,339,0,460
BBVACOL,2006-09-12,1,1,359,1,1,1,0,460
BBVACOL,2006-09-13,21156,29201,359,340,2741,339,0,460
BBVACOL,2006-09-14,36682,46396,347,361,2963,359,-083,75
BBVACOL,2006-09-15,24763,33742,347,380,3118,371,0,460
BBVACOL,2006-09-18,1,1,347,1,1,1,0,460
BBVACOL,2006-09-19,13747,22498,347,484,4291,379,0,460
BBVACOL,2006-09-20,1,1,347,1,1,1,0,460
BBVACOL,2006-09-21,8,4523,359,372,3114,371,083,537
BBVACOL,2006-09-22,16209,24199,359,389,3427,388,0,460
BBVACOL,2006-09-25,4838,10057,359,361,2963,359,0,460
BBVACOL,2006-09-26,1,1,359,1,1,1,0,460
BBVACOL,2006-09-27,41635,51746,347,372,2964,359,-083,75
BBVACOL,2006-09-28,44210,1211,379,389,3427,388,25,762
BBVACOL,2006-09-29,1,1,379,1,1,1,0,460
BBVACOL,2006-10-02,11610,20582,481,493,5162,490,813,552
BBVACOL,2006-10-03,1,1,481,1,1,1,0,460
BBVACOL,2006-10-04,18195,26242,481,380,3119,371,0,460
BBVACOL,2006-10-05,1,1,481,1,1,1,0,460
BBVACOL,2006-10-06,31576,41291,481,380,3264,379,0,460
BBVACOL,2006-10-09,1,1,481,1,1,1,0,460
BBVACOL,2006-10-10,1,1,481,1,1,1,0,460
BBVACOL,2006-10-11,1,1,481,1,1,1,0,460
BBVACOL,2006-10-12,1,1,481,1,1,1,0,460
BBVACOL,2006-10-13,15565,23428,481,389,3266,379,0,460
BBVACOL,2006-10-17,1,1,481,1,1,1,0,460
BBVACOL,2006-10-18,27218,36395,481,380,3264,379,0,460
BBVACOL,2006-10-19,28974,38952,398,408,3737,409,-602,426
BBVACOL,2006-10-20,14510,22678,398,408,3737,409,0,460
BBVACOL,2006-10-23,43495,767,398,408,3737,409,0,460
BBVACOL,2006-10-24,12987,20521,398,408,3429,388,0,460
BBVACOL,2006-10-25,15947,24136,398,408,3586,379,0,460
BBVACOL,2006-10-26,36911,47094,359,408,3267,359,-32,319
BBVACOL,2006-10-27,34614,44242,359,361,2963,359,0,460
BBVACOL,2006-10-30,43744,102,359,361,2963,359,0,460
BBVACOL,2006-10-31,27296,36851,389,399,3584,399,248,762
BBVACOL,2006-11-01,1,1,389,1,1,1,0,460
BBVACOL,2006-11-02,36812,47037,379,389,3427,388,-081,75
BBVACOL,2006-11-03,1,1,379,1,1,1,0,460
BBVACOL,2006-11-07,1,1,379,1,1,1,0,460
BBVACOL,2006-11-08,42435,53870,407,428,3888,419,244,762
BBVACOL,2006-11-09,34643,45373,407,419,3887,419,0,460
BBVACOL,2006-11-10,24540,33726,407,389,3427,388,0,460
BBVACOL,2006-11-14,23107,32190,369,399,3428,379,-317,319
BBVACOL,2006-11-15,1,1,369,1,1,1,0,460
BBVACOL,2006-11-16,1,1,369,1,1,1,0,460
BBVACOL,2006-11-17,22017,31608,416,428,3889,399,41,854
BBVACOL,2006-11-20,13273,21359,416,419,3887,419,0,460
BBVACOL,2006-11-21,1,1,416,1,1,1,0,460
BBVACOL,2006-11-22,36475,47618,425,446,4080,419,079,537
BBVACOL,2006-11-23,28606,40283,510,521,5262,474,625,938
BBVACOL,2006-11-24,1,1,510,1,1,1,0,460
BBVACOL,2006-11-27,7,6401,463,475,4952,474,-368,352
BBVACOL,2006-11-28,2626,8933,463,437,4290,437,0,460
BBVACOL,2006-11-29,26278,36497,425,437,4290,437,-229,273
BBVACOL,2006-11-30,1,1,425,1,1,1,0,460
BBVACOL,2006-12-01,1525,7567,425,437,4290,437,0,460
BBVACOL,2006-12-04,43246,1405,452,465,4812,464,156,679
BBVACOL,2006-12-05,6994,14436,452,475,4813,464,0,460
BBVACOL,2006-12-06,1,1,452,1,1,1,0,460
BBVACOL,2006-12-07,23950,33994,452,437,4290,437,0,460
BBVACOL,2006-12-11,1,1,452,1,1,1,0,460
BBVACOL,2006-12-12,1,1,452,1,1,1,0,460
BBVACOL,2006-12-13,1,1,452,1,1,1,0,460
BBVACOL,2006-12-14,1591,8959,499,509,5263,490,385,854
BBVACOL,2006-12-15,36111,49312,554,567,5975,517,37,854
BBVACOL,2006-12-18,39585,52906,534,547,5829,464,-071,75
BBVACOL,2007-05-22,1,1,1064,1,1,1,0,460
BBVACOL,2007-05-23,3249,18448,1064,1079,11716,1076,0,460
BBVACOL,2007-05-24,29228,48165,1064,1079,11716,1076,0,460
