Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
BCOLOMBIA,2002-01-03,6082,12407,399,409,3675,410,0,460
BCOLOMBIA,2002-01-04,20126,29125,399,1,3740,1,0,460
BCOLOMBIA,2002-01-08,38681,49648,408,420,3893,420,08,552
BCOLOMBIA,2002-01-09,12356,20395,426,438,4111,422,159,689
BCOLOMBIA,2002-01-10,28299,38429,426,1,3934,1,0,460
BCOLOMBIA,2002-01-11,18442,27357,426,1,3891,1,0,460
BCOLOMBIA,2002-01-14,37131,47555,399,409,3568,391,-234,282
BCOLOMBIA,2002-01-15,43507,1341,426,438,4282,438,24,772
BCOLOMBIA,2002-01-16,10681,18865,439,490,4822,450,117,623
BCOLOMBIA,2002-01-17,44285,2816,461,478,4937,471,1,601
BCOLOMBIA,2002-01-18,18562,28690,482,494,5130,483,168,708
BCOLOMBIA,2002-01-21,17080,27677,527,541,5651,491,376,860
BCOLOMBIA,2002-01-22,27006,39132,511,570,5836,502,-145,206
BCOLOMBIA,2002-01-23,20788,31760,511,527,5466,498,0,460
BCOLOMBIA,2002-01-24,42269,1172,503,514,5405,505,-066,442
BCOLOMBIA,2002-01-25,41690,426,493,506,5284,498,-052,403
BCOLOMBIA,2002-01-28,42219,295,455,468,4864,465,-32,336
BCOLOMBIA,2002-01-29,12964,21670,439,466,4675,450,-046,383
BCOLOMBIA,2002-01-30,12460,21037,453,466,4712,452,039,854
BCOLOMBIA,2002-01-31,44897,3811,486,498,5123,465,269,793
BCOLOMBIA,2002-02-01,29775,41059,464,485,4994,475,-187,244
BCOLOMBIA,2002-02-04,35542,47102,460,474,4902,471,-023,273
BCOLOMBIA,2002-02-05,14269,22509,417,429,3807,396,-283,309
BCOLOMBIA,2002-02-06,4687,11250,426,466,4112,428,079,552
BCOLOMBIA,2002-02-07,8825,16213,453,466,4369,434,156,689
BCOLOMBIA,2002-02-08,10235,17928,426,443,4299,436,-154,206
BCOLOMBIA,2002-02-11,8827,15948,426,438,4059,418,0,460
BCOLOMBIA,2002-02-12,37198,48417,428,441,4321,438,016,679
BCOLOMBIA,2002-02-13,1425,7419,417,438,4230,428,-094,113
BCOLOMBIA,2002-02-14,27752,37895,417,429,4070,428,0,460
BCOLOMBIA,2002-02-15,32633,43032,390,411,3721,400,-236,282
BCOLOMBIA,2002-02-18,10948,17782,370,400,3435,380,-161,206
BCOLOMBIA,2002-02-19,23021,31461,330,373,2851,342,-238,265
BCOLOMBIA,2002-02-20,45696,2253,328,341,2745,340,-008,75
BCOLOMBIA,2002-02-21,15629,22597,320,331,2598,327,-084,86
BCOLOMBIA,2002-02-22,43855,53292,312,323,2173,295,-076,442
BCOLOMBIA,2002-02-25,10905,16605,312,323,2512,319,0,460
BCOLOMBIA,2002-02-26,34185,43457,320,333,2597,325,077,953
BCOLOMBIA,2002-02-27,20482,28395,328,341,2750,340,085,552
BCOLOMBIA,2002-02-28,40355,50211,328,348,2789,340,0,460
BCOLOMBIA,2002-03-01,12295,18607,320,341,2701,329,-084,86
BCOLOMBIA,2002-03-04,28261,36838,348,362,2651,317,169,689
BCOLOMBIA,2002-03-05,38132,47766,336,350,2763,320,-008,75
BCOLOMBIA,2002-03-06,38125,47921,336,362,2859,347,0,460
BCOLOMBIA,2002-03-07,39626,49576,336,1,2863,1,0,460
BCOLOMBIA,2002-03-08,6089,11558,348,362,2966,360,008,537
BCOLOMBIA,2002-03-11,39753,50191,377,396,3364,364,233,750
BCOLOMBIA,2002-03-12,15689,24703,453,466,4513,410,586,921
BCOLOMBIA,2002-03-13,12956,21150,408,449,4084,418,-308,325
BCOLOMBIA,2002-03-14,26675,36476,404,416,3814,415,-04,352
BCOLOMBIA,2002-03-15,1297,6325,352,409,3377,360,-43,369
BCOLOMBIA,2002-03-18,1,1,352,1,1,1,0,460
BCOLOMBIA,2002-03-19,35124,44782,348,362,2968,360,-008,75
BCOLOMBIA,2002-03-20,6822,12736,348,1,3248,1,0,460
BCOLOMBIA,2002-03-21,30862,41090,399,412,3746,410,417,860
BCOLOMBIA,2002-03-22,32819,42942,399,1,3462,1,0,460
BCOLOMBIA,2002-03-26,47112,4960,399,409,3675,403,0,460
BCOLOMBIA,2002-03-27,15459,23712,397,409,3727,408,-008,75
BCOLOMBIA,2002-04-01,12402,20016,399,409,3725,410,008,537
BCOLOMBIA,2002-04-02,5990,12359,399,411,3741,410,0,460
BCOLOMBIA,2002-04-03,20523,29731,411,423,3812,410,104,601
BCOLOMBIA,2002-04-04,28615,38871,419,431,4007,420,063,938
BCOLOMBIA,2002-04-05,1642,8142,453,471,4818,465,228,755
BCOLOMBIA,2002-04-08,45811,5296,500,517,5342,479,385,860
BCOLOMBIA,2002-04-09,22199,33308,496,522,5447,502,-03,319
BCOLOMBIA,2002-04-10,2755,9950,469,494,5122,479,-23,285
BCOLOMBIA,2002-04-11,44310,2849,467,481,4943,467,-008,75
BCOLOMBIA,2002-04-12,37442,49829,500,513,5339,498,274,798
BCOLOMBIA,2002-04-15,10826,19997,506,522,5435,505,037,854
BCOLOMBIA,2002-04-16,11643,21490,523,550,5832,529,148,689
BCOLOMBIA,2002-04-17,39252,52194,514,535,5659,522,-08,100
BCOLOMBIA,2002-04-18,6197,14579,516,527,5617,522,007,537
BCOLOMBIA,2002-04-19,21861,33055,503,527,5531,510,-103,136
BCOLOMBIA,2002-04-22,13193,22893,506,517,5379,502,03,814
BCOLOMBIA,2002-04-23,14528,24533,500,518,5469,507,-037,352
BCOLOMBIA,2002-04-24,21649,32820,506,522,5528,513,037,854
BCOLOMBIA,2002-04-25,37970,50431,500,510,5395,507,-037,352
BCOLOMBIA,2002-04-26,41412,276,500,517,5432,505,0,460
BCOLOMBIA,2002-04-29,14175,24116,500,517,5431,507,0,460
BCOLOMBIA,2002-04-30,20135,30905,495,506,5311,502,-037,352
BCOLOMBIA,2002-05-02,19215,29937,495,1,5395,1,0,460
BCOLOMBIA,2002-05-03,7822,16264,500,510,5377,507,037,854
BCOLOMBIA,2002-05-06,5446,13361,500,510,5299,498,0,460
BCOLOMBIA,2002-05-07,46137,5657,500,510,5368,507,0,460
BCOLOMBIA,2002-05-08,12698,22287,500,510,5383,502,0,460
BCOLOMBIA,2002-05-09,3203,11202,516,531,5626,518,111,623
BCOLOMBIA,2002-05-10,14560,25179,555,568,5964,544,256,793
BCOLOMBIA,2002-05-14,18978,31032,579,611,6639,564,214,772
BCOLOMBIA,2002-05-15,45726,6847,587,611,6805,599,07,552
BCOLOMBIA,2002-05-16,8171,18108,563,609,6617,573,-208,282
BCOLOMBIA,2002-05-17,1398,10152,579,593,6620,589,142,689
BCOLOMBIA,2002-05-20,26817,39757,579,593,6631,591,0,460
BCOLOMBIA,2002-05-21,8227,18166,576,595,6621,586,-035,352
BCOLOMBIA,2002-05-22,37690,51478,579,593,6630,591,035,854
BCOLOMBIA,2002-05-23,17982,29958,587,602,6711,591,07,552
BCOLOMBIA,2002-05-24,14082,26265,648,672,7312,607,417,892
BCOLOMBIA,2002-05-27,14223,26367,604,715,7270,595,-267,325
BCOLOMBIA,2002-05-28,44013,5702,648,669,7452,646,274,823
BCOLOMBIA,2002-05-29,46275,8638,665,686,7750,664,133,689
BCOLOMBIA,2002-05-30,18795,32219,677,698,7842,678,086,601
BCOLOMBIA,2002-05-31,32381,47991,711,781,8514,690,248,807
BCOLOMBIA,2002-06-05,8818,21402,722,751,8614,733,038,888
BCOLOMBIA,2002-06-06,3869,15738,764,788,9006,762,221,793
BCOLOMBIA,2002-06-07,15323,30387,818,886,9743,826,278,839
BCOLOMBIA,2002-06-11,26847,43636,853,908,10007,865,144,724
BCOLOMBIA,2002-06-12,21382,37535,879,908,10015,878,071,585
BCOLOMBIA,2002-06-13,23196,40806,974,1038,11086,916,447,930
BCOLOMBIA,2002-06-14,23413,40729,951,1018,10839,936,-118,212
BCOLOMBIA,2002-06-17,27324,45438,1008,1057,11233,1004,251,836
BCOLOMBIA,2002-06-18,26234,44860,1033,1105,11625,1036,167,772
BCOLOMBIA,2002-06-19,21489,38346,966,1038,10647,911,-328,388
BCOLOMBIA,2002-06-20,14183,30496,946,1038,10931,976,-107,184
BCOLOMBIA,2002-06-21,44094,9320,920,974,10603,947,-12,212
