Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
BIOMAX,2009-10-29,35418,34312,5154,5212,36050,5135,882,897
BIOMAX,2009-10-30,45521,48271,5534,5607,37947,5270,1634,594
BIOMAX,2009-11-03,42626,46198,5642,5724,38979,5710,112,552
BIOMAX,2009-11-04,4401,2488,5534,5607,38704,5599,-111,86
BIOMAX,2009-11-05,22446,21762,5343,5426,37343,5403,-854,417
BIOMAX,2009-11-06,22030,21243,5343,5418,37335,5403,0,460
BIOMAX,2009-11-09,3256,52891,5335,5413,37321,5395,-049,319
BIOMAX,2009-11-10,37413,37838,5315,5382,37126,5380,-123,86
BIOMAX,2009-11-11,33688,33178,5181,5243,36546,5245,-313,244
BIOMAX,2009-11-12,1,1,5181,1,1,1,0,460
BIOMAX,2009-11-13,14398,11122,5194,5257,36548,5234,065,854
BIOMAX,2009-11-17,38353,38037,5168,5229,36449,5234,-128,86
BIOMAX,2009-11-18,719,48450,5141,5202,36280,5206,-13,86
BIOMAX,2009-11-19,42571,42275,5141,5202,36269,5206,0,460
BIOMAX,2009-11-20,10190,5445,5141,5202,36240,5201,0,460
BIOMAX,2009-11-23,9966,5329,5154,5212,36323,5206,066,854
BIOMAX,2009-11-24,4204,52746,5168,5229,36449,5234,065,854
BIOMAX,2009-11-25,44800,45104,5175,5237,36464,5234,026,679
BIOMAX,2009-11-26,22133,20004,5168,5229,36449,5234,-026,195
BIOMAX,2009-11-27,16232,12988,5168,1,36449,1,0,460
BIOMAX,2009-11-30,45739,46153,5168,5229,36449,5234,0,460
BIOMAX,2009-12-01,30632,29654,5168,5229,36449,5234,0,460
BIOMAX,2009-12-02,25041,23357,5168,5229,36449,5234,0,460
BIOMAX,2009-12-03,38955,38677,5168,5229,36449,5234,0,460
BIOMAX,2009-12-04,36976,36570,5181,5243,36514,5245,065,854
BIOMAX,2009-12-07,19617,16911,5168,5229,36449,5234,-065,352
BIOMAX,2009-12-09,38201,37833,5168,5229,36449,5234,0,460
BIOMAX,2009-12-10,43524,43816,5181,5243,36546,5245,065,854
BIOMAX,2009-12-11,11832,7941,5194,5257,36583,5234,065,854
BIOMAX,2009-12-14,42022,42278,5194,5257,36674,5257,0,460
BIOMAX,2009-12-15,1399,49782,5194,5257,36674,5257,0,460
BIOMAX,2009-12-16,11073,7219,5194,1,36742,1,0,460
BIOMAX,2009-12-17,30778,30075,5194,5257,36634,5257,0,460
BIOMAX,2009-12-18,15199,11869,5173,5235,36463,5238,-115,442
BIOMAX,2009-12-21,39960,40152,5173,1,36674,1,0,460
BIOMAX,2009-12-22,6387,1582,5194,5257,36631,5257,117,953
BIOMAX,2009-12-23,23647,22034,5194,5257,36674,5257,0,460
BIOMAX,2009-12-24,10966,6853,5184,5245,36566,5247,-051,319
BIOMAX,2009-12-28,1,1,5184,1,1,1,0,460
BIOMAX,2009-12-29,42049,42304,5194,5257,36674,5257,052,814
BIOMAX,2009-12-30,13100,9656,5194,5257,36674,5257,0,460
BIOMAX,2010-01-04,1,1,5194,1,1,1,0,460
BIOMAX,2010-01-05,1,1,5194,1,1,1,0,460
BIOMAX,2010-01-06,18443,15945,5204,5268,36756,5265,064,854
BIOMAX,2010-01-07,1,1,5204,1,1,1,0,460
BIOMAX,2010-01-08,18027,15440,5204,5268,36743,5265,0,460
BIOMAX,2010-01-12,29785,28952,5194,5257,36674,5257,-064,352
BIOMAX,2010-01-13,15599,12601,5194,5257,36674,5257,0,460
BIOMAX,2010-01-14,5500,564,5194,5257,36674,5257,0,460
BIOMAX,2010-01-15,15547,12537,5194,5257,36674,5257,0,460
BIOMAX,2010-01-18,13852,11024,5219,5285,36920,5280,167,601
BIOMAX,2010-01-19,29556,29031,5217,5283,36898,5274,-013,75
BIOMAX,2010-01-20,25686,24794,5226,5292,36946,5284,063,854
BIOMAX,2010-01-21,24041,22954,5222,5290,36945,5284,-025,195
BIOMAX,2010-01-22,20546,18782,5222,5288,36907,5274,0,460
BIOMAX,2010-01-25,23168,22075,5231,5295,36990,5294,05,814
BIOMAX,2010-01-26,18444,16568,5326,5395,37202,5387,075,888
BIOMAX,2010-01-27,21867,20909,5335,5405,37251,5387,062,854
BIOMAX,2010-01-28,9262,5852,5339,5410,37300,5395,025,679
BIOMAX,2010-01-29,28689,28717,5345,5415,37341,5405,037,762
BIOMAX,2010-02-01,17069,15359,5356,5426,37444,5417,061,854
BIOMAX,2010-02-02,21585,20763,5345,5426,37342,5405,-061,352
BIOMAX,2010-02-03,30583,30990,5365,5435,37373,5405,11,953
BIOMAX,2010-02-04,30204,30674,5356,5437,37447,5417,-049,319
BIOMAX,2010-02-05,18943,17676,5359,5429,37465,5420,012,537
BIOMAX,2010-02-08,19153,18074,5367,5437,37527,5428,049,814
BIOMAX,2010-02-09,1158,50924,5374,5444,37563,5434,048,814
BIOMAX,2010-02-10,28187,28553,5378,5449,37563,5428,012,537
