Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
BOGOTA,2002-01-03,39389,26132,3449,3507,28322,3494,002,537
BOGOTA,2002-01-04,1,1,3449,1,1,1,0,460
BOGOTA,2002-01-08,19629,3677,3437,3507,28319,3482,-002,75
BOGOTA,2002-01-09,29691,15003,3417,3507,28294,3462,-091,325
BOGOTA,2002-01-10,23686,8041,3422,3481,28208,3448,025,569
BOGOTA,2002-01-11,43500,30523,3413,3481,28224,3458,-046,206
BOGOTA,2002-01-14,14032,50641,3394,3451,28096,3435,-115,357
BOGOTA,2002-01-15,33473,19206,3403,3472,28149,3443,07,772
BOGOTA,2002-01-16,876,37828,3617,3700,29401,3652,97,831
BOGOTA,2002-01-17,46482,35731,3601,3682,29320,3656,-084,325
BOGOTA,2002-01-18,35374,23430,3615,3680,29308,3674,083,809
BOGOTA,2002-01-21,45773,34962,3596,3668,29281,3650,-099,346
BOGOTA,2002-01-22,18694,4208,3608,3673,29306,3650,06,750
BOGOTA,2002-01-23,40946,29660,3614,3680,29348,3666,038,655
BOGOTA,2002-01-24,26099,12869,3612,3677,29345,3664,-017,426
BOGOTA,2002-01-25,46401,35676,3608,3675,29324,3656,-021,86
BOGOTA,2002-01-28,15990,1102,3604,3671,29323,3661,-021,86
BOGOTA,2002-01-29,44114,32713,3548,3667,29115,3589,-254,114
BOGOTA,2002-01-30,35670,23491,3573,3640,29147,3624,137,899
BOGOTA,2002-01-31,44894,33705,3596,3659,29154,3624,084,809
BOGOTA,2002-02-01,23636,9596,3548,3626,29089,3601,-217,91
BOGOTA,2002-02-04,4493,40864,3505,3599,28725,3550,-213,456
BOGOTA,2002-02-05,26180,11948,3520,3581,28749,3550,102,843
BOGOTA,2002-02-06,7569,45936,3619,3825,29679,3676,446,695
BOGOTA,2002-02-07,6377,43962,3601,3682,29296,3634,-086,328
BOGOTA,2002-02-08,34281,22328,3610,3680,29352,3650,062,755
BOGOTA,2002-02-11,1352,38420,3632,3698,29420,3671,076,798
BOGOTA,2002-02-12,3454,41053,3640,3720,29488,3688,038,655
BOGOTA,2002-02-13,1219,38244,3617,3703,29399,3676,-09,336
BOGOTA,2002-02-14,14903,91,3686,3753,29450,3669,232,570
BOGOTA,2002-02-15,45443,34899,3622,3753,29448,3676,-214,94
BOGOTA,2002-02-18,4392,41908,3626,3718,29404,3676,013,888
BOGOTA,2002-02-19,40093,28450,3566,3682,29174,3615,-235,104
BOGOTA,2002-02-20,8978,46671,3593,3659,29171,3619,108,860
BOGOTA,2002-02-21,3376,40130,3564,3626,29031,3550,-113,367
BOGOTA,2002-02-22,32897,20135,3566,3626,29055,3601,006,762
BOGOTA,2002-02-25,33410,21139,3595,3669,29273,3650,11,865
BOGOTA,2002-02-26,22952,9100,3581,3656,29192,3629,-013,383
BOGOTA,2002-02-27,38376,26419,3582,3656,29136,3621,009,814
BOGOTA,2002-02-28,30581,17485,3568,3640,29125,3619,-098,344
BOGOTA,2002-03-01,5411,42370,3561,3622,29026,3589,-028,125
BOGOTA,2002-03-04,2494,39253,3566,3626,29099,3619,022,552
BOGOTA,2002-03-05,19019,4541,3612,3677,29277,3639,194,955
BOGOTA,2002-03-06,4316,41846,3625,3694,29406,3676,042,689
BOGOTA,2002-03-07,42615,31797,3655,3744,29560,3678,086,828
BOGOTA,2002-03-08,40950,29931,3630,3722,29487,3687,-06,265
BOGOTA,2002-03-11,4598,42413,3665,3734,29586,3702,111,870
BOGOTA,2002-03-12,4101,42336,3704,3810,29862,3762,151,923
BOGOTA,2002-03-13,46355,36282,3686,3785,29725,3740,-078,314
BOGOTA,2002-03-14,20282,6824,3680,3773,29698,3740,-021,86
BOGOTA,2002-03-15,28006,15312,3653,3746,29590,3702,-103,357
BOGOTA,2002-03-18,18392,4033,3617,3682,29394,3676,-104,357
BOGOTA,2002-03-19,41615,30238,3617,3682,29294,3639,0,460
BOGOTA,2002-03-20,20429,6404,3614,3682,29382,3672,-004,195
BOGOTA,2002-03-21,47233,36934,3653,3720,29499,3696,11,868
BOGOTA,2002-03-22,45212,34910,3678,3744,29628,3728,102,851
BOGOTA,2002-03-26,1377,39315,3739,3813,29915,3740,208,555
BOGOTA,2002-03-27,36458,25804,3750,3827,30033,3808,038,665
