Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
BVC,2007-06-22,1,1,1,1,1,1,0,460
BVC,2007-06-25,1,1,1,1,1,1,0,460
BVC,2007-06-26,1,1,1,1,1,1,0,460
BVC,2007-06-27,1,1,1,1,1,1,0,460
BVC,2007-06-28,11196,36255,1414,2553,17489,1368,227,709
BVC,2007-06-29,28735,53030,1417,2243,15230,1454,133,490
BVC,2007-07-03,4955,25636,1503,1538,14368,1455,088,480
BVC,2007-07-04,2199,22100,1414,1545,14333,1451,-217,50
BVC,2007-07-05,46059,16684,1332,1450,13634,1359,-533,77
BVC,2007-07-06,17078,37847,1329,1367,13606,1359,-141,30
BVC,2007-07-09,16599,35918,1097,1273,12801,1125,-524,76
BVC,2007-07-10,8882,27403,1241,1275,12827,1122,251,508
BVC,2007-07-11,5880,24270,1245,1278,12859,1272,196,500
BVC,2007-07-12,35636,5045,1412,1448,13642,1274,721,546
BVC,2007-07-13,15923,37633,1411,1448,14302,1448,-045,10
BVC,2007-07-16,1368,20945,1414,1451,14321,1448,135,490
BVC,2007-07-17,19139,41891,1418,1454,14349,1451,178,500
BVC,2007-07-18,34419,4723,1415,1454,14335,1451,-131,30
BVC,2007-07-19,13551,34777,1335,1451,13668,1365,-442,75
BVC,2007-07-23,28597,51102,1335,1450,13642,1365,0,460
BVC,2007-07-24,881,19398,1335,1367,13638,1364,0,460
BVC,2007-07-25,13966,34687,1330,1445,13622,1360,-231,50
BVC,2007-07-26,11871,32031,1330,1368,13612,1360,0,460
BVC,2007-07-27,37401,6260,1332,1364,13587,1276,095,480
BVC,2007-07-30,28056,50366,1335,1370,13632,1274,141,490
BVC,2007-07-31,22270,43936,1329,1368,13617,1359,-278,57
BVC,2007-08-01,14236,34476,1329,1361,12884,1278,0,460
BVC,2007-08-02,6830,25695,1329,1361,13585,1359,0,460
BVC,2007-08-03,40140,9378,1329,1362,13585,1359,0,460
BVC,2007-08-06,1,1,1329,1,1,1,0,460
BVC,2007-08-08,8641,27927,1331,1363,13591,1359,095,480
BVC,2007-08-09,33917,1918,1242,1277,12844,1274,-33,63
BVC,2007-08-10,26930,48026,1242,1275,12839,1273,0,460
BVC,2007-08-13,19137,38982,1237,1277,12802,1125,-244,50
BVC,2007-08-14,10734,29101,1097,1270,12142,1124,-05,10
BVC,2007-08-15,37668,5385,1237,1271,12799,1126,05,470
BVC,2007-08-16,6194,22818,1088,1130,12074,1034,-5,75
BVC,2007-08-17,10417,27956,1097,1270,12087,1117,474,531
BVC,2007-08-21,1,1,1097,1,1,1,0,460
BVC,2007-08-22,23756,43367,1091,1129,12094,1120,-302,57
BVC,2007-08-23,19878,38912,1092,1129,12088,1117,052,470
