Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
CARTON,2002-01-03,1,1,1792,1,1,1,0,460
CARTON,2002-01-04,1,1,1792,1,1,1,0,460
CARTON,2002-01-08,1,1,1792,1,1,1,0,460
CARTON,2002-01-09,1,1,1792,1,1,1,0,460
CARTON,2002-01-10,1,1,1792,1,1,1,0,460
CARTON,2002-01-11,25357,51812,1792,1829,17526,1820,0,460
CARTON,2002-01-14,25821,52319,1792,1829,17526,1820,0,460
CARTON,2002-01-15,1,1,1792,1,1,1,0,460
CARTON,2002-01-16,35062,8788,1792,1,17526,1,0,460
CARTON,2002-01-17,4,22858,1792,1,17526,1,0,460
CARTON,2002-01-18,1,1,1792,1,1,1,0,460
CARTON,2002-01-21,1,1,1792,1,1,1,0,460
CARTON,2002-01-22,1,1,1792,1,1,1,0,460
CARTON,2002-01-23,5368,28160,1706,1740,16845,1734,-381,458
CARTON,2002-01-24,1,1,1706,1,1,1,0,460
CARTON,2002-01-25,40071,13374,1704,1740,16842,1734,-004,75
CARTON,2002-01-28,1,1,1704,1,1,1,0,460
CARTON,2002-01-29,1,1,1704,1,1,1,0,460
CARTON,2002-01-30,1,1,1704,1,1,1,0,460
CARTON,2002-01-31,1,1,1704,1,1,1,0,460
CARTON,2002-02-01,1,1,1704,1,1,1,0,460
CARTON,2002-02-04,1,1,1704,1,1,1,0,460
CARTON,2002-02-05,1,1,1704,1,1,1,0,460
CARTON,2002-02-06,1,1,1704,1,1,1,0,460
CARTON,2002-02-07,1,1,1704,1,1,1,0,460
CARTON,2002-02-08,1,1,1704,1,1,1,0,460
CARTON,2002-02-11,1,1,1704,1,1,1,0,460
CARTON,2002-02-12,1,1,1704,1,1,1,0,460
CARTON,2002-02-13,24552,49983,1704,1738,16843,1734,0,460
CARTON,2002-02-14,1,1,1704,1,1,1,0,460
CARTON,2002-02-15,1,1,1704,1,1,1,0,460
CARTON,2002-02-18,1,1,1704,1,1,1,0,460
CARTON,2002-02-19,1,1,1704,1,1,1,0,460
CARTON,2002-02-20,1,1,1704,1,1,1,0,460
CARTON,2002-02-21,1,1,1704,1,1,1,0,460
CARTON,2002-02-22,1,1,1704,1,1,1,0,460
CARTON,2002-02-25,1,1,1704,1,1,1,0,460
CARTON,2002-02-26,1,1,1704,1,1,1,0,460
CARTON,2002-02-27,1,1,1704,1,1,1,0,460
CARTON,2002-02-28,25563,52475,1834,1871,17880,1863,604,628
CARTON,2002-03-01,1,1,1834,1,1,1,0,460
CARTON,2002-03-04,1,1,1834,1,1,1,0,460
CARTON,2002-03-05,1,1,1834,1,1,1,0,460
CARTON,2002-03-06,3618,27048,1834,1,17542,1,0,460
CARTON,2002-03-07,1,1,1834,1,1,1,0,460
CARTON,2002-03-08,1,1,1834,1,1,1,0,460
CARTON,2002-03-11,1,1,1834,1,1,1,0,460
CARTON,2002-03-12,22891,48155,1834,1,16841,1,0,460
CARTON,2002-03-13,1,1,1834,1,1,1,0,460
CARTON,2002-03-14,1,1,1834,1,1,1,0,460
CARTON,2002-03-15,1,1,1834,1,1,1,0,460
CARTON,2002-03-18,1,1,1834,1,1,1,0,460
CARTON,2002-03-19,1,1,1834,1,1,1,0,460
CARTON,2002-03-20,1,1,1834,1,1,1,0,460
CARTON,2002-03-21,10104,32567,1591,1627,15970,1625,-10,252
CARTON,2002-03-22,1,1,1591,1,1,1,0,460
CARTON,2002-03-26,1,1,1591,1,1,1,0,460
CARTON,2002-03-27,1,1,1591,1,1,1,0,460
CARTON,2002-04-01,1,1,1591,1,1,1,0,460
CARTON,2002-04-02,1,1,1591,1,1,1,0,460
CARTON,2002-04-03,1,1,1591,1,1,1,0,460
CARTON,2002-04-04,1,1,1591,1,1,1,0,460
CARTON,2002-04-05,13001,36041,1591,1,16168,1,0,460
CARTON,2002-04-08,1,1,1591,1,1,1,0,460
CARTON,2002-04-09,1,1,1591,1,1,1,0,460
CARTON,2002-04-10,1,1,1591,1,1,1,0,460
CARTON,2002-04-11,46637,19962,1593,1630,15979,1625,008,679
CARTON,2002-04-12,1,1,1593,1,1,1,0,460
CARTON,2002-04-15,1,1,1593,1,1,1,0,460
CARTON,2002-04-16,1,1,1593,1,1,1,0,460
CARTON,2002-04-17,1,1,1593,1,1,1,0,460
CARTON,2002-04-18,1,1,1593,1,1,1,0,460
CARTON,2002-04-19,1,1,1593,1,1,1,0,460
CARTON,2002-04-22,1,1,1593,1,1,1,0,460
CARTON,2002-04-23,23330,48611,1704,1738,16841,1734,469,573
CARTON,2002-04-24,13849,39477,1704,1,17879,1,0,460
CARTON,2002-04-25,1,1,1704,1,1,1,0,460
CARTON,2002-04-26,20081,43950,1704,1,15928,1,0,460
CARTON,2002-04-29,1,1,1704,1,1,1,0,460
CARTON,2002-04-30,1,1,1704,1,1,1,0,460
CARTON,2002-05-02,1,1,1704,1,1,1,0,460
CARTON,2002-05-03,1,1,1704,1,1,1,0,460
CARTON,2002-05-06,31627,3937,1704,1738,16841,1734,0,460
CARTON,2002-05-07,1,1,1704,1,1,1,0,460
CARTON,2002-05-08,44208,15493,1704,1,14815,1,0,460
CARTON,2002-05-09,39846,12071,1704,1,15928,1,0,460
CARTON,2002-05-10,9421,31727,1586,1621,15928,1620,-48,114
CARTON,2002-05-14,1,1,1586,1,1,1,0,460
CARTON,2002-05-15,1,1,1586,1,1,1,0,460
CARTON,2002-05-16,1,1,1586,1,1,1,0,460
CARTON,2002-05-17,1,1,1586,1,1,1,0,460
CARTON,2002-05-20,12984,35576,1586,1,15722,1,0,460
CARTON,2002-05-21,1,1,1586,1,1,1,0,460
CARTON,2002-05-22,18443,41786,1560,1595,15715,1595,-126,282
CARTON,2002-05-23,43932,15916,1560,1,15488,1,0,460
CARTON,2002-05-24,1,1,1560,1,1,1,0,460
CARTON,2002-05-27,28992,53423,1560,1,15715,1,0,460
CARTON,2002-05-28,1,1,1560,1,1,1,0,460
CARTON,2002-05-29,1,1,1560,1,1,1,0,460
CARTON,2002-05-30,17864,39682,1560,1,14388,1,0,460
CARTON,2002-05-31,26890,51173,1560,1,15715,1,0,460
CARTON,2002-06-05,1,1,1560,1,1,1,0,460
CARTON,2002-06-06,1,1,1560,1,1,1,0,460
CARTON,2002-06-07,1,1,1560,1,1,1,0,460
CARTON,2002-06-11,1,1,1560,1,1,1,0,460
CARTON,2002-06-12,1,1,1560,1,1,1,0,460
CARTON,2002-06-13,40582,12541,1560,1,15715,1,0,460
CARTON,2002-06-14,1,1,1560,1,1,1,0,460
CARTON,2002-06-17,1,1,1560,1,1,1,0,460
CARTON,2002-06-18,1,1,1560,1,1,1,0,460
CARTON,2002-06-19,1,1,1560,1,1,1,0,460
CARTON,2002-06-20,1,1,1560,1,1,1,0,460
CARTON,2002-06-21,38251,9981,1560,1595,15715,1595,0,460
CARTON,2002-06-24,1,1,1560,1,1,1,0,460
CARTON,2002-06-25,23330,47211,1560,1,15760,1,0,460
CARTON,2002-06-26,32150,5258,1767,1804,17313,1795,979,718
CARTON,2002-06-27,1,1,1767,1,1,1,0,460
CARTON,2002-06-28,1,1,1767,1,1,1,0,460
CARTON,2002-07-02,1,1,1767,1,1,1,0,460
CARTON,2002-07-03,1,1,1767,1,1,1,0,460
CARTON,2002-07-04,1,1,1767,1,1,1,0,460
CARTON,2002-07-05,1,1,1767,1,1,1,0,460
CARTON,2002-07-08,1,1,1767,1,1,1,0,460
CARTON,2002-07-09,1,1,1767,1,1,1,0,460
CARTON,2002-07-10,1,1,1767,1,1,1,0,460
CARTON,2002-07-11,38078,11243,1767,1,16841,1,0,460
CARTON,2002-07-12,1,1,1767,1,1,1,0,460
CARTON,2002-07-15,1,1,1767,1,1,1,0,460
CARTON,2002-07-16,1,1,1767,1,1,1,0,460
CARTON,2002-07-17,1,1,1767,1,1,1,0,460
CARTON,2002-07-18,1,1,1767,1,1,1,0,460
CARTON,2002-07-19,1,1,1767,1,1,1,0,460
CARTON,2002-07-22,1,1,1767,1,1,1,0,460
CARTON,2002-07-23,1,1,1767,1,1,1,0,460
