Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
CEMARGOS,2005-12-29,8590,45793,3642,3719,28874,3569,55,734
CEMARGOS,2006-01-02,37360,24898,3533,3657,28909,3572,-454,218
CEMARGOS,2006-01-03,2005,38423,3549,3627,29001,3584,044,691
CEMARGOS,2006-01-04,15315,54017,3572,3637,29124,3610,13,893
CEMARGOS,2006-01-05,37196,25436,3605,3688,29340,3632,129,893
CEMARGOS,2006-01-06,12026,50583,3639,3706,29409,3667,148,917
CEMARGOS,2006-01-10,25183,12308,3769,4006,29606,3715,426,696
CEMARGOS,2006-01-11,44836,35332,3870,3994,30377,3834,028,614
CEMARGOS,2006-01-12,36370,26334,3935,4011,30608,3782,208,561
CEMARGOS,2006-01-13,13773,1124,4074,4144,30987,3995,513,741
CEMARGOS,2006-01-16,5988,47412,4227,4300,31870,4134,607,785
CEMARGOS,2006-01-17,16513,6680,4237,4383,32404,4287,06,790
CEMARGOS,2006-01-18,16556,6041,4199,4334,31988,4242,-16,448
CEMARGOS,2006-01-19,14161,2901,4181,4278,31754,4152,-092,366
CEMARGOS,2006-01-20,28257,19034,4198,4275,31690,4181,089,861
CEMARGOS,2006-01-23,5457,47313,4241,4339,32137,4260,188,565
CEMARGOS,2006-01-24,4220,46467,4302,4374,32427,4303,202,580
CEMARGOS,2006-01-25,1,1,4302,1,1,1,0,460
CEMARGOS,2006-01-26,9819,52910,4322,4383,32469,4325,065,808
CEMARGOS,2006-01-27,5703,48680,4489,4551,32890,4387,339,692
CEMARGOS,2006-01-30,32157,25752,4446,4592,33081,4396,-164,88
CEMARGOS,2006-01-31,17097,7446,4268,4400,32441,4299,-333,208
CEMARGOS,2006-02-01,22905,13264,4152,4317,31886,4201,-466,256
CEMARGOS,2006-02-02,6410,48402,4227,4360,32127,4225,307,647
CEMARGOS,2006-02-03,44255,37745,4213,4383,32177,4260,-053,283
CEMARGOS,2006-02-06,47337,40562,4139,4284,31735,4185,-3,170
CEMARGOS,2006-02-07,21218,10244,3892,4269,31215,3954,-818,343
CEMARGOS,2006-02-08,30548,19287,3865,4106,30300,3723,-099,359
CEMARGOS,2006-02-09,13460,160,3962,4053,30678,3925,32,637
CEMARGOS,2006-02-10,31783,22303,4063,4160,31190,4046,368,667
CEMARGOS,2006-02-13,8086,49492,4166,4241,31662,4152,393,702
CEMARGOS,2006-02-14,11014,52868,4128,4259,31672,4190,-144,430
CEMARGOS,2006-02-15,29295,20087,4128,4217,31557,4182,0,460
CEMARGOS,2006-02-16,46892,39538,4114,4211,31413,4123,-055,283
CEMARGOS,2006-02-17,5704,46304,4090,4182,31377,4141,-092,359
CEMARGOS,2006-02-21,597,40882,4121,4211,31529,4175,104,881
CEMARGOS,2006-02-22,16602,5318,4171,4244,31547,4175,201,571
CEMARGOS,2006-02-23,19662,9886,4218,4306,32017,4229,197,571
CEMARGOS,2006-02-24,12860,1855,4218,4310,32016,4273,0,460
CEMARGOS,2006-02-27,36452,28368,4114,4291,31692,4175,-405,229
CEMARGOS,2006-02-28,9004,50098,4084,4211,31412,4125,-11,389
CEMARGOS,2006-03-01,9729,51008,4096,4195,31420,4152,037,691
CEMARGOS,2006-03-02,33760,24764,4038,4177,31290,4094,-203,102
CEMARGOS,2006-03-03,29377,19015,4004,4106,30917,4047,-113,389
CEMARGOS,2006-03-06,43211,33350,3741,3996,30280,3793,-55,263
CEMARGOS,2006-03-07,13020,52471,3695,3818,29843,3753,-145,411
CEMARGOS,2006-03-08,11643,51054,3705,3984,29983,3769,037,656
CEMARGOS,2006-03-09,21204,7894,3654,3818,29705,3701,-2,457
CEMARGOS,2006-03-10,26819,14088,3717,3786,29627,3700,208,554
CEMARGOS,2006-03-13,35753,25097,3692,4001,30073,3756,-045,220
CEMARGOS,2006-03-14,5420,43763,3717,3802,29780,3749,045,710
CEMARGOS,2006-03-15,1629,39551,3695,3798,29882,3757,-041,207
CEMARGOS,2006-03-16,43783,33435,3717,3786,29751,3715,041,691
CEMARGOS,2006-03-17,40176,29750,3725,3802,29913,3783,041,691
CEMARGOS,2006-03-21,23053,10376,3740,3811,29918,3793,061,773
CEMARGOS,2006-03-22,40814,30505,3733,3932,29939,3796,-02,87
CEMARGOS,2006-03-23,38935,28557,3767,3842,30064,3793,101,861
CEMARGOS,2006-03-24,24096,12574,3980,4058,30706,3837,417,699
CEMARGOS,2006-03-27,27938,17609,4073,4153,31139,4076,331,648
CEMARGOS,2006-03-28,16183,4455,4080,4182,31270,4130,026,614
CEMARGOS,2006-03-29,18911,7842,4105,4211,31425,4135,1,876
CEMARGOS,2006-03-30,32986,23856,4076,4182,31268,4129,-11,389
CEMARGOS,2006-03-31,18941,7470,4054,4151,31216,4094,-089,348
