Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
COLTEJER,2002-01-03,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-04,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-08,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-09,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-10,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-11,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-14,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-15,43529,8402,1089,1,10123,1,0,460
COLTEJER,2002-01-16,13848,29473,1089,1,10123,1,0,460
COLTEJER,2002-01-17,46242,12092,1089,1,10149,1,0,460
COLTEJER,2002-01-18,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-21,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-22,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-23,1,1,1089,1,1,1,0,460
COLTEJER,2002-01-24,12027,27563,870,900,10149,898,-838,82
COLTEJER,2002-01-25,1,1,870,1,1,1,0,460
COLTEJER,2002-01-28,1,1,870,1,1,1,0,460
COLTEJER,2002-01-29,1,1,870,1,1,1,0,460
COLTEJER,2002-01-30,1,1,870,1,1,1,0,460
COLTEJER,2002-01-31,15973,32861,870,1,11269,1,0,460
COLTEJER,2002-02-01,1,1,870,1,1,1,0,460
COLTEJER,2002-02-04,27462,45619,870,1,11269,1,0,460
COLTEJER,2002-02-05,1,1,870,1,1,1,0,460
COLTEJER,2002-02-06,1,1,870,1,1,1,0,460
COLTEJER,2002-02-07,1,1,870,1,1,1,0,460
COLTEJER,2002-02-08,1,1,870,1,1,1,0,460
COLTEJER,2002-02-11,1,1,870,1,1,1,0,460
COLTEJER,2002-02-12,1,1,870,1,1,1,0,460
COLTEJER,2002-02-13,1,1,870,1,1,1,0,460
COLTEJER,2002-02-14,1,1,870,1,1,1,0,460
COLTEJER,2002-02-15,1,1,870,1,1,1,0,460
COLTEJER,2002-02-18,13,12661,870,1,10103,1,0,460
COLTEJER,2002-02-19,1,1,870,1,1,1,0,460
COLTEJER,2002-02-20,1,1,870,1,1,1,0,460
COLTEJER,2002-02-21,1,1,870,1,1,1,0,460
COLTEJER,2002-02-22,1,1,870,1,1,1,0,460
COLTEJER,2002-02-25,1,1,870,1,1,1,0,460
COLTEJER,2002-02-26,1,1,870,1,1,1,0,460
COLTEJER,2002-02-27,1,1,870,1,1,1,0,460
COLTEJER,2002-02-28,1,1,870,1,1,1,0,460
COLTEJER,2002-03-01,1,1,870,1,1,1,0,460
COLTEJER,2002-03-04,1,1,870,1,1,1,0,460
COLTEJER,2002-03-05,1,1,870,1,1,1,0,460
COLTEJER,2002-03-06,1,1,870,1,1,1,0,460
COLTEJER,2002-03-07,1,1,870,1,1,1,0,460
COLTEJER,2002-03-08,1,1,870,1,1,1,0,460
COLTEJER,2002-03-11,1,1,870,1,1,1,0,460
COLTEJER,2002-03-12,1,1,870,1,1,1,0,460
COLTEJER,2002-03-13,1,1,870,1,1,1,0,460
COLTEJER,2002-03-14,1,1,870,1,1,1,0,460
COLTEJER,2002-03-15,1,1,870,1,1,1,0,460
COLTEJER,2002-03-18,1,1,870,1,1,1,0,460
COLTEJER,2002-03-19,1,1,870,1,1,1,0,460
COLTEJER,2002-03-20,1,1,870,1,1,1,0,460
COLTEJER,2002-03-21,1,1,870,1,1,1,0,460
COLTEJER,2002-03-22,1,1,870,1,1,1,0,460
COLTEJER,2002-03-26,1,1,870,1,1,1,0,460
COLTEJER,2002-03-27,1,1,870,1,1,1,0,460
COLTEJER,2002-04-01,1,1,870,1,1,1,0,460
COLTEJER,2002-04-02,1,1,870,1,1,1,0,460
COLTEJER,2002-04-03,1,1,870,1,1,1,0,460
COLTEJER,2002-04-04,1,1,870,1,1,1,0,460
COLTEJER,2002-04-05,1,1,870,1,1,1,0,460
COLTEJER,2002-04-08,1,1,870,1,1,1,0,460
COLTEJER,2002-04-09,39965,2518,870,1,7521,1,0,460
COLTEJER,2002-04-10,1,1,870,1,1,1,0,460
COLTEJER,2002-04-11,1,1,870,1,1,1,0,460
COLTEJER,2002-04-12,1,1,870,1,1,1,0,460
