Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
CORFICOLCF,2006-01-03,32308,44025,488,507,5139,466,292,808
CORFICOLCF,2006-01-04,37707,50313,491,528,5537,499,015,689
CORFICOLCF,2006-01-05,30673,42681,505,526,5482,501,104,614
CORFICOLCF,2006-01-06,44908,4447,513,532,5581,515,059,940
CORFICOLCF,2006-01-10,20729,32236,556,569,5932,530,279,808
CORFICOLCF,2006-01-11,47266,8053,570,587,6381,565,129,656
CORFICOLCF,2006-01-12,45830,6673,577,603,6586,576,056,940
CORFICOLCF,2006-01-13,8725,19913,671,696,7385,587,701,554
CORFICOLCF,2006-01-16,47223,10464,748,771,8295,670,485,926
CORFICOLCF,2006-01-17,4470,17951,935,1002,10298,763,875,615
CORFICOLCF,2006-01-18,10438,25772,956,1019,10858,915,115,691
CORFICOLCF,2006-01-19,40189,4851,930,978,10593,941,-125,220
CORFICOLCF,2006-01-20,44913,10416,986,1019,10708,869,276,849
CORFICOLCF,2006-01-23,37663,2702,980,1039,11130,975,-034,388
CORFICOLCF,2006-01-24,27598,45633,987,1020,11163,1010,045,940
CORFICOLCF,2006-01-25,1,1,987,1,1,1,0,460
CORFICOLCF,2006-01-26,35671,840,1030,1081,11459,1022,213,808
CORFICOLCF,2006-01-27,587,15386,1074,1133,11827,1063,296,876
CORFICOLCF,2006-01-30,22890,41510,1042,1133,11840,1069,-213,326
CORFICOLCF,2006-01-31,33026,51847,981,1073,11403,1005,-315,379
CORFICOLCF,2006-02-01,33713,51648,856,1005,10531,866,-516,448
CORFICOLCF,2006-02-02,40492,5237,930,989,10637,905,284,849
CORFICOLCF,2006-02-03,13147,28492,852,973,10429,877,-288,359
CORFICOLCF,2006-02-06,17698,32476,765,907,9235,763,-403,400
CORFICOLCF,2006-02-07,38883,1502,692,803,8973,707,-432,408
