Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
ECOPETROL,2007-10-17,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-18,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-19,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-22,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-23,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-24,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-25,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-26,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-29,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-30,1,1,1,1,1,1,0,460
ECOPETROL,2007-10-31,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-01,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-02,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-06,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-07,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-08,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-09,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-13,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-14,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-15,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-16,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-19,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-20,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-21,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-22,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-23,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-26,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-27,1,1,1,1,1,1,0,460
ECOPETROL,2007-11-28,42793,11448,1286,1320,13044,1077,1054,697
ECOPETROL,2007-11-29,36479,6081,1313,1558,14097,1301,171,793
ECOPETROL,2007-11-30,23707,43873,1257,1372,12650,1180,-337,407
ECOPETROL,2007-12-03,7882,25409,1157,1212,12521,1161,-224,341
ECOPETROL,2007-12-04,29883,49369,1065,1186,11958,1081,-483,451
ECOPETROL,2007-12-05,22179,41466,1181,1286,12332,1085,668,594
ECOPETROL,2007-12-06,23548,44250,1261,1343,13132,1206,1,689
ECOPETROL,2007-12-07,22219,42772,1177,1343,13112,1206,-124,244
ECOPETROL,2007-12-10,4223,21357,1169,1291,12619,1189,-05,86
ECOPETROL,2007-12-11,21843,41967,1286,1324,12907,1189,328,901
ECOPETROL,2007-12-12,15898,35659,1257,1333,13155,1197,-171,300
ECOPETROL,2007-12-13,5254,22846,1257,1346,12931,1206,0,460
ECOPETROL,2007-12-14,46939,16118,1261,1324,13000,1280,025,854
ECOPETROL,2007-12-17,45997,14817,1248,1299,12914,1211,-074,146
ECOPETROL,2007-12-18,16859,35882,1117,1286,12568,1141,-4,429
ECOPETROL,2007-12-19,14515,33253,1160,1200,12534,1146,26,860
ECOPETROL,2007-12-20,16786,36016,1257,1291,12649,1185,203,823
ECOPETROL,2007-12-21,17450,37180,1261,1316,13061,1288,025,854
ECOPETROL,2007-12-24,41262,9677,1261,1308,13020,1280,0,460
ECOPETROL,2007-12-26,24621,45336,1264,1320,13096,1297,025,854
ECOPETROL,2007-12-27,33400,871,1270,1304,13009,1288,025,854
ECOPETROL,2007-12-28,31430,52691,1264,1308,13054,1292,-025,352
ECOPETROL,2008-01-02,13771,32977,1261,1299,12982,1284,-025,352
ECOPETROL,2008-01-03,16399,36003,1274,1312,13072,1297,074,623
ECOPETROL,2008-01-04,12707,31785,1270,1308,13038,1292,-025,352
ECOPETROL,2008-01-08,26349,46947,1252,1299,12973,1284,-099,206
ECOPETROL,2008-01-09,38175,5894,1177,1286,12698,1201,-075,146
ECOPETROL,2008-01-10,34669,2010,1177,1281,12670,1201,0,460
ECOPETROL,2008-01-11,35016,2403,1181,1281,12671,1201,025,854
ECOPETROL,2008-01-14,37303,4666,1153,1208,12573,1175,-175,300
ECOPETROL,2008-01-15,19436,38173,1104,1200,12256,1103,-281,372
ECOPETROL,2008-01-16,20497,38463,1057,1114,11614,1036,-236,341
ECOPETROL,2008-01-17,23978,41997,950,1181,11469,974,-565,96
ECOPETROL,2008-01-18,22731,39864,913,1168,10715,881,-171,282
ECOPETROL,2008-01-21,14341,28077,714,906,8647,728,-87,147
ECOPETROL,2008-01-22,35682,52347,934,971,9243,660,1048,641
ECOPETROL,2008-01-23,31933,49467,876,1008,10390,660,-23,325
ECOPETROL,2008-01-24,24949,43014,1008,1057,11368,1007,588,553
ECOPETROL,2008-01-25,17979,35423,989,1189,11545,1017,-056,86
ECOPETROL,2008-01-28,16122,32215,927,983,10605,929,-307,372
ECOPETROL,2008-01-29,12662,28809,955,1045,11136,984,144,732
ECOPETROL,2008-01-30,45029,10583,944,988,10727,947,-057,86
ECOPETROL,2008-01-31,12685,28183,961,999,10604,914,086,623
ECOPETROL,2008-02-01,9761,25163,955,1018,11004,980,-028,352
ECOPETROL,2008-02-04,11105,27137,1013,1053,11381,996,256,839
ECOPETROL,2008-02-05,11740,27374,955,1018,10884,969,-249,341
ECOPETROL,2008-02-06,5653,19867,904,983,10624,933,-227,325
ECOPETROL,2008-02-07,12793,27916,944,983,10280,865,174,772
ECOPETROL,2008-02-08,15070,31570,966,1038,11049,974,114,689
ECOPETROL,2008-02-11,13982,30709,1025,1057,11383,1012,282,860
ECOPETROL,2008-02-12,13697,30888,1021,1160,11648,1044,-027,352
ECOPETROL,2008-02-13,42297,8340,1017,1069,11526,1044,-028,352
ECOPETROL,2008-02-14,31963,51343,1073,1204,11812,1001,387,916
ECOPETROL,2008-02-15,16294,34416,1099,1144,12003,1085,106,689
ECOPETROL,2008-02-18,15811,34388,1144,1172,12363,1132,263,860
ECOPETROL,2008-02-19,21496,41050,1144,1195,12466,1085,0,460
ECOPETROL,2008-02-20,11222,29049,1149,1181,12418,1146,026,854
ECOPETROL,2008-02-21,9751,27502,1139,1189,12494,1161,-051,86
ECOPETROL,2008-02-22,1011,16888,1144,1189,12409,1157,026,854
ECOPETROL,2008-02-25,769,16760,1153,1181,12468,1157,051,552
ECOPETROL,2008-02-26,9260,26978,1160,1189,12525,1171,051,552
ECOPETROL,2008-02-27,9742,27750,1173,1208,12605,1185,076,623
ECOPETROL,2008-02-28,2007,18525,1164,1204,12583,1185,-05,86
ECOPETROL,2008-02-29,27981,48523,1257,1291,12700,1128,177,793
ECOPETROL,2008-03-03,26077,46223,1248,1281,12566,1165,-05,86
ECOPETROL,2008-03-04,26488,46353,1108,1208,12424,1135,-45,444
ECOPETROL,2008-03-05,23322,43103,1149,1195,12485,1152,236,839
ECOPETROL,2008-03-06,43075,10924,1144,1181,12476,1165,-026,352
ECOPETROL,2008-03-07,10284,28249,1173,1204,12529,1161,179,793
ECOPETROL,2008-03-10,16137,35472,1177,1291,12900,1206,025,854
ECOPETROL,2008-03-11,6074,23759,1257,1291,12929,1211,101,689
ECOPETROL,2008-03-12,18604,38441,1270,1308,13018,1280,075,623
ECOPETROL,2008-03-13,17272,37088,1293,1333,13123,1288,148,772
ECOPETROL,2008-03-14,19207,39972,1326,1376,13431,1297,195,823
ECOPETROL,2009-01-13,40489,9011,1286,1324,13116,1297,-049,86
ECOPETROL,2009-01-14,7378,25475,1261,1312,13043,1292,-147,282
ECOPETROL,2009-01-15,6282,23907,1181,1295,12707,1201,-099,206
ECOPETROL,2009-01-16,43447,12030,1177,1299,12941,1206,-025,352
ECOPETROL,2009-01-19,21996,42101,1257,1291,12727,1201,101,689
ECOPETROL,2009-01-20,43288,11766,1252,1291,12899,1197,-025,352
ECOPETROL,2009-01-21,45492,14269,1181,1286,12897,1206,-05,86
ECOPETROL,2009-01-22,4359,21682,1177,1295,12689,1201,-025,352
ECOPETROL,2009-01-23,11002,29243,1248,1291,12603,1180,05,552
ECOPETROL,2009-01-26,3077,20316,1261,1299,12979,1280,075,623
ECOPETROL,2009-01-27,46018,14887,1261,1295,12942,1280,0,460
ECOPETROL,2009-01-28,46089,15114,1261,1304,13012,1288,0,460
ECOPETROL,2009-01-29,34349,1941,1264,1299,12993,1284,025,854
ECOPETROL,2009-01-30,46052,15244,1282,1316,13103,1297,099,689
ECOPETROL,2009-02-02,25785,46514,1264,1312,13062,1297,-098,206
