Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
EEB,2009-06-12,1,1,1,1,1,1,0,460
EEB,2009-06-16,1,1,1,1,1,1,0,460
EEB,2009-06-17,1,1,1,1,1,1,0,460
EEB,2009-06-18,1,1,1,1,1,1,0,460
EEB,2009-06-19,1,1,1,1,1,1,0,460
EEB,2009-06-23,1,1,1,1,1,1,0,460
EEB,2009-06-24,1,1,1,1,1,1,0,460
EEB,2009-06-25,1,1,1,1,1,1,0,460
EEB,2009-06-26,1,1,1,1,1,1,0,460
EEB,2009-06-30,1,1,1,1,1,1,0,460
EEB,2009-07-01,1,1,1,1,1,1,0,460
EEB,2009-07-02,1,1,1,1,1,1,0,460
EEB,2009-07-03,1,1,1,1,1,1,0,460
EEB,2009-07-06,1,1,1,1,1,1,0,460
EEB,2009-07-07,1,1,1,1,1,1,0,460
EEB,2009-07-08,1,1,1,1,1,1,0,460
EEB,2009-07-09,1,1,1,1,1,1,0,460
EEB,2009-07-10,1,1,1,1,1,1,0,460
EEB,2009-07-13,1,1,1,1,1,1,0,460
EEB,2009-07-14,1,1,1,1,1,1,0,460
EEB,2009-07-15,1,1,1,1,1,1,0,460
EEB,2009-07-16,1,1,1,1,1,1,0,460
EEB,2009-07-17,1,1,1,1,1,1,0,460
EEB,2009-07-21,1,1,1,1,1,1,0,460
EEB,2009-07-22,1,1,1,1,1,1,0,460
EEB,2009-07-23,1,1,1,1,1,1,0,460
EEB,2009-07-24,1,1,1,1,1,1,0,460
EEB,2009-07-27,1,1,1,1,1,1,0,460
EEB,2009-07-28,27837,24159,4958,5009,35105,5026,166,919
EEB,2009-07-29,1,1,4958,1,1,1,0,460
EEB,2009-07-30,1,1,4958,1,1,1,0,460
EEB,2009-07-31,1,1,4958,1,1,1,0,460
EEB,2009-08-03,1,1,4958,1,1,1,0,460
EEB,2009-08-04,1,1,4958,1,1,1,0,460
EEB,2009-08-05,1,1,4958,1,1,1,0,460
EEB,2009-08-06,1,1,4958,1,1,1,0,460
EEB,2009-08-10,1,1,4958,1,1,1,0,460
EEB,2009-08-11,1,1,4958,1,1,1,0,460
EEB,2009-08-12,1,1,4958,1,1,1,0,460
EEB,2009-08-13,1,1,4958,1,1,1,0,460
EEB,2009-08-14,1,1,4958,1,1,1,0,460
EEB,2009-08-18,1,1,4958,1,1,1,0,460
EEB,2009-08-19,1,1,4958,1,1,1,0,460
EEB,2009-08-20,1,1,4958,1,1,1,0,460
EEB,2009-08-21,1,1,4958,1,1,1,0,460
EEB,2009-08-24,1,1,4958,1,1,1,0,460
EEB,2009-08-25,1,1,4958,1,1,1,0,460
EEB,2009-08-26,1,1,4958,1,1,1,0,460
EEB,2009-08-27,1,1,4958,1,1,1,0,460
EEB,2009-08-28,1,1,4958,1,1,1,0,460
EEB,2009-08-31,1,1,4958,1,1,1,0,460
EEB,2009-09-01,1,1,4958,1,1,1,0,460
EEB,2009-09-02,1,1,4958,1,1,1,0,460
EEB,2009-09-03,1,1,4958,1,1,1,0,460
EEB,2009-09-04,27837,36666,351,365,2981,363,7149,863
EEB,2009-09-07,1,1,351,1,1,1,0,460
EEB,2009-09-08,1,1,351,1,1,1,0,460
EEB,2009-09-09,1,1,351,1,1,1,0,460
EEB,2009-09-10,1,1,351,1,1,1,0,460
EEB,2009-09-11,1,1,351,1,1,1,0,460
EEB,2009-09-14,1,1,351,1,1,1,0,460
EEB,2009-09-15,1,1,351,1,1,1,0,460
EEB,2009-09-16,1,1,351,1,1,1,0,460
EEB,2009-09-17,1,1,351,1,1,1,0,460
EEB,2009-09-18,1,1,351,1,1,1,0,460
EEB,2009-09-21,1,1,351,1,1,1,0,460
EEB,2009-09-22,1,1,351,1,1,1,0,460
EEB,2009-09-23,1,1,351,1,1,1,0,460
EEB,2009-09-24,1,1,351,1,1,1,0,460
EEB,2009-09-25,1,1,351,1,1,1,0,460
EEB,2009-09-28,1,1,351,1,1,1,0,460
EEB,2009-09-29,1,1,351,1,1,1,0,460
EEB,2009-09-30,1,1,351,1,1,1,0,460
EEB,2009-10-01,1,1,351,1,1,1,0,460
EEB,2009-10-02,37299,36849,5172,5234,36460,5237,-358,335
EEB,2009-10-05,19521,18948,5404,5475,37754,5466,901,912
EEB,2009-10-06,37127,39677,5509,5577,38326,5494,474,813
EEB,2009-10-07,39454,42672,5529,5718,38732,5593,102,956
EEB,2009-10-08,16406,16294,5509,5594,38507,5574,-101,445
EEB,2009-10-09,30752,32752,5503,5576,38392,5570,-032,261
EEB,2009-10-13,31709,33617,5484,5583,38275,5552,-091,430
EEB,2009-10-14,31565,32652,5399,5499,37755,5461,-345,284
EEB,2009-10-15,41319,43521,5419,5496,37861,5486,119,554
EEB,2009-10-16,4201,803,5404,5475,37754,5466,-106,445
EEB,2009-10-19,6265,3199,5397,5467,37724,5459,-014,114
EEB,2009-10-20,11369,9061,5387,5461,37657,5447,-067,375
EEB,2009-10-21,6508,3196,5373,5446,37562,5433,-053,339
EEB,2009-10-22,2721,53272,5425,5496,37894,5494,256,703
