Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
ELCONDOR,2014-05-29,1,1,523,1,1,1,0,460
ELCONDOR,2014-05-30,36030,48837,523,535,5747,533,0,460
ELCONDOR,2014-06-03,40177,52205,523,1,4954,1,0,460
ELCONDOR,2014-06-04,5949,14459,523,535,5754,533,0,460
ELCONDOR,2014-06-05,1,1,523,1,1,1,0,460
ELCONDOR,2014-06-06,33106,45667,527,539,5722,537,036,854
ELCONDOR,2014-06-09,1,1,527,1,1,1,0,460
ELCONDOR,2014-06-10,25258,37319,531,554,6001,537,036,854
ELCONDOR,2014-06-11,47277,7700,535,548,5965,545,036,854
ELCONDOR,2014-06-12,430,8889,572,593,6531,564,216,772
ELCONDOR,2014-06-13,32872,46326,579,598,6648,591,07,552
ELCONDOR,2014-06-16,26352,39418,595,611,6763,591,14,689
ELCONDOR,2014-06-17,9890,20282,579,593,6649,591,-138,206
ELCONDOR,2014-06-18,40177,430,579,1,6759,1,0,460
ELCONDOR,2014-06-19,25358,38327,591,606,6812,603,105,623
ELCONDOR,2014-06-20,27192,40989,648,667,7254,603,381,878
ELCONDOR,2014-06-24,11922,23833,648,667,7533,660,0,460
ELCONDOR,2014-06-25,16230,28561,621,640,7222,633,-133,206
ELCONDOR,2014-06-26,15975,28620,648,667,7455,660,135,689
ELCONDOR,2014-06-27,36683,51542,648,667,7532,660,0,460
ELCONDOR,2014-07-01,41524,2879,648,667,7532,660,0,460
ELCONDOR,2014-07-02,636,10424,648,667,7532,660,0,460
ELCONDOR,2014-07-03,28292,42478,652,672,7604,664,033,854
ELCONDOR,2014-07-04,40472,1213,652,1,7093,1,0,460
ELCONDOR,2014-07-07,14609,27185,656,677,7645,669,033,854
ELCONDOR,2014-07-08,24207,37912,652,672,7555,660,-033,352
ELCONDOR,2014-07-09,3692,13547,617,636,7157,629,-199,282
ELCONDOR,2014-07-10,26071,39673,621,640,7172,633,034,854
ELCONDOR,2014-07-11,23735,37466,621,1,7677,1,0,460
ELCONDOR,2014-07-14,42224,3394,621,1,7265,1,0,460
ELCONDOR,2014-07-15,21618,35171,652,677,7587,660,169,732
ELCONDOR,2014-07-16,3716,14112,656,677,7677,669,033,854
ELCONDOR,2014-07-17,1,1,656,1,1,1,0,460
ELCONDOR,2014-07-18,12277,24788,683,704,8024,697,199,772
ELCONDOR,2014-07-21,15471,28542,683,1,7981,1,0,460
ELCONDOR,2014-07-22,35857,50894,656,686,7765,669,-195,282
ELCONDOR,2014-07-23,24527,38230,634,652,7432,645,-099,146
ELCONDOR,2014-07-24,42224,3627,634,1,7436,1,0,460
ELCONDOR,2014-07-25,46579,8772,634,1,7554,1,0,460
ELCONDOR,2014-07-28,41963,3422,652,672,7606,664,067,552
ELCONDOR,2014-07-29,23670,37241,652,1,7532,1,0,460
ELCONDOR,2014-07-30,23999,37623,652,1,7532,1,0,460
ELCONDOR,2014-07-31,38711,53854,652,1,7604,1,0,460
ELCONDOR,2014-08-01,37575,52480,652,1,7532,1,0,460
ELCONDOR,2014-08-04,1,1,652,1,1,1,0,460
ELCONDOR,2014-08-05,1,1,652,1,1,1,0,460
ELCONDOR,2014-08-06,8239,19517,656,677,7620,664,033,854
ELCONDOR,2014-08-08,25220,39137,648,672,7570,660,-066,86
ELCONDOR,2014-08-11,32464,47055,656,677,7677,669,067,552
ELCONDOR,2014-08-12,3146,13508,665,686,7749,673,066,552
ELCONDOR,2014-08-13,1,1,665,1,1,1,0,460
ELCONDOR,2014-08-14,19192,32331,652,672,7540,660,-099,146
ELCONDOR,2014-08-15,7020,18126,683,704,7755,660,233,793
ELCONDOR,2014-08-19,31616,46838,709,732,8263,697,195,772
ELCONDOR,2014-08-20,21945,36413,704,732,8406,720,-032,352
ELCONDOR,2014-08-21,18006,32448,747,770,8924,762,224,793
ELCONDOR,2014-08-22,35917,52445,764,788,9113,781,125,689
ELCONDOR,2014-08-25,2568,14668,809,835,9445,812,216,793
