Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
ENKA,2008-08-14,28174,29998,5303,5370,37093,5355,-056,5
ENKA,2008-08-15,28174,30271,5306,5373,37103,5368,034,463
ENKA,2008-08-19,17773,18346,5305,5374,37106,5370,-011,1
ENKA,2008-08-20,30782,33282,5312,5378,37110,5369,078,467
ENKA,2008-08-21,18874,19846,5303,5624,37111,5369,-1,9
ENKA,2008-08-22,20438,21501,5554,5626,37103,5366,135,472
ENKA,2008-08-25,13853,13733,5303,5375,37106,5369,-133,12
ENKA,2008-08-26,32823,35405,5311,5377,37104,5366,09,468
ENKA,2008-08-27,37507,40418,5311,5377,37100,5364,0,460
ENKA,2008-08-28,14471,14559,5553,5624,37112,5376,022,462
ENKA,2008-08-29,7931,6883,5565,5642,38825,5369,167,475
ENKA,2008-09-01,38213,41759,5558,5653,38833,5623,-098,9
ENKA,2008-09-02,17920,18695,5310,5629,37112,5372,-099,9
ENKA,2008-09-03,1917,53709,5312,5624,37112,5377,022,462
ENKA,2008-09-04,34970,38270,5563,5636,38834,5625,156,474
ENKA,2008-09-05,1,1,5563,1,1,1,0,460
ENKA,2008-09-08,3428,1451,5553,5624,37110,5370,-142,13
ENKA,2008-09-09,26690,28841,5553,5624,38823,5376,0,460
ENKA,2008-09-10,39709,43234,5556,5628,38826,5618,044,464
ENKA,2008-09-11,32136,34996,5553,5637,38827,5371,-044,4
ENKA,2008-09-12,6010,4672,5553,5632,38828,5618,0,460
ENKA,2008-09-15,14347,14211,5302,5376,37103,5367,-133,12
ENKA,2008-09-16,25031,26035,5285,5362,37080,5345,-293,26
ENKA,2008-09-17,47338,50456,5284,5350,37074,5344,-023,2
ENKA,2008-09-18,1,1,5284,1,1,1,0,460
ENKA,2008-09-19,8,50882,5291,5359,37089,5355,186,476
ENKA,2008-09-22,11598,10382,5290,5356,37084,5345,-068,6
ENKA,2008-09-23,38148,40456,5284,5352,37076,5344,-115,10
ENKA,2008-09-24,11028,8094,5248,5314,37031,5303,-5,43
ENKA,2008-09-25,42687,44990,5277,5343,37065,5336,404,493
ENKA,2008-09-26,1,1,5277,1,1,1,0,460
ENKA,2008-09-29,1,1,5277,1,1,1,0,460
ENKA,2008-09-30,25360,26885,5553,5624,37096,5359,588,508
ENKA,2008-10-01,20746,21553,5294,5362,37092,5359,-233,21
ENKA,2008-10-02,28173,28864,5270,5334,37056,5330,-444,39
ENKA,2008-10-03,1,1,5270,1,1,1,0,460
ENKA,2008-10-06,1,1,5270,1,1,1,0,460
ENKA,2008-10-07,1,1,5270,1,1,1,0,460
ENKA,2008-10-08,31953,33416,5270,5345,37068,5339,0,460
ENKA,2008-10-09,1,1,5270,1,1,1,0,460
ENKA,2008-10-10,33635,32665,5270,5334,35035,4990,0,460
ENKA,2008-10-14,13852,9891,4918,4970,35032,4990,-10,67
ENKA,2008-10-15,1,1,4918,1,1,1,0,460
