Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
ETB,2008-08-14,22294,12297,4154,4257,31695,4213,-107,383
ETB,2008-08-15,38797,30931,4179,4250,31676,4208,09,854
ETB,2008-08-19,36165,28288,4174,4264,31775,4222,-018,75
ETB,2008-08-20,18263,7478,4179,4250,31694,4202,018,537
ETB,2008-08-21,23287,13409,4174,4257,31717,4208,-018,75
ETB,2008-08-22,32999,25267,4266,4349,32103,4197,394,708
ETB,2008-08-25,20827,11690,4234,4381,32260,4258,-121,403
ETB,2008-08-26,23457,14832,4320,4391,32437,4314,297,644
ETB,2008-08-27,25218,17212,4328,4512,32612,4353,051,762
ETB,2008-08-28,11902,1881,4457,4518,32681,4371,152,953
ETB,2008-08-29,19118,10971,4493,4571,33141,4490,166,552
ETB,2008-09-01,35405,30426,4575,4747,33579,4577,392,724
ETB,2008-09-02,36695,32289,4644,4730,33872,4630,267,644
ETB,2008-09-03,15794,8122,4583,4708,33718,4643,-214,136
ETB,2008-09-04,15997,8008,4539,4658,33550,4585,-219,136
ETB,2008-09-05,919,44130,4539,4605,33346,4568,0,460
ETB,2008-09-08,30088,24271,4554,4634,33488,4585,08,854
ETB,2008-09-09,27175,20887,4539,4629,33449,4591,-079,352
ETB,2008-09-10,27602,21210,4539,4614,33396,4583,0,460
ETB,2008-09-11,2386,46023,4550,4641,33481,4577,064,814
ETB,2008-09-12,27444,21177,4542,4637,33463,4595,-048,273
ETB,2008-09-15,2659,45874,4533,4605,33247,4547,-064,319
ETB,2008-09-16,2341,45258,4340,4598,33069,4388,-402,244
ETB,2008-09-17,42889,36947,4323,4555,32631,4321,-101,383
ETB,2008-09-18,38865,32186,4255,4381,32385,4296,-22,125
ETB,2008-09-19,2695,45239,4452,4518,32685,4385,398,717
ETB,2008-09-22,37606,31612,4481,4543,32945,4371,133,938
ETB,2008-09-23,6431,49491,4340,4522,32710,4390,-197,113
ETB,2008-09-24,19586,11630,4525,4596,33182,4375,385,717
ETB,2008-09-25,1359,44534,4525,4605,33329,4559,0,460
ETB,2008-09-26,40193,35278,4547,4626,33408,4553,129,938
ETB,2008-09-29,6874,50541,4461,4605,33185,4385,-398,244
ETB,2008-09-30,21404,13467,4487,4567,33070,4510,116,913
ETB,2008-10-01,9645,53851,4509,4598,33206,4510,115,913
ETB,2008-10-02,24401,17165,4487,4590,33243,4538,-113,403
ETB,2008-10-03,15583,6827,4481,4571,33172,4529,-016,75
ETB,2008-10-06,18973,9507,4251,4504,32270,4279,-525,289
ETB,2008-10-07,33968,26897,4238,4398,32401,4289,-052,273
ETB,2008-10-08,8248,49730,4137,4314,31681,4121,-418,233
ETB,2008-10-09,40540,33087,4154,4298,31853,4208,073,814
ETB,2008-10-10,15035,2077,3896,4127,30722,3952,-866,347
ETB,2008-10-14,16847,5926,4137,4285,31740,4162,87,836
ETB,2008-10-15,3138,43594,4137,4233,31434,4055,0,460
ETB,2008-10-16,13664,736,4036,4180,30834,3952,-364,206
ETB,2008-10-17,42534,34577,4101,4209,31428,4068,245,601
ETB,2008-10-20,9403,51122,4220,4293,31714,4132,479,738
ETB,2008-10-21,44900,37656,4159,4276,31718,4188,-246,136
ETB,2008-10-22,43244,35160,4013,4202,31276,4074,-523,265
ETB,2008-10-23,31563,20754,3863,4104,30438,3923,-494,249
ETB,2008-10-24,1626,38822,3611,3784,29415,3600,-52,249
ETB,2008-10-27,9294,46706,3592,3704,29038,3555,-084,319
ETB,2008-10-28,8669,47647,3758,3952,29977,3655,596,750
ETB,2008-10-29,16789,3882,3932,4042,30614,3923,261,601
ETB,2008-10-30,3036,42324,3937,4104,30774,3986,02,537
ETB,2008-10-31,4990,44385,3976,4051,30687,3719,137,913
ETB,2008-11-04,19378,7810,4061,4127,31123,4013,308,634
ETB,2008-11-05,45934,37564,4007,4104,30947,4030,-187,86
ETB,2008-11-06,8956,48532,3886,4051,30483,3946,-4,212
ETB,2008-11-07,5637,45772,4027,4127,31088,4036,496,732
ETB,2008-11-10,41243,32550,3989,4158,31085,4050,-151,426
ETB,2008-11-11,19775,7928,3998,4091,30903,4018,038,679
ETB,2008-11-12,19175,7111,4002,4068,30789,3986,019,537
ETB,2008-11-13,616,40082,3976,4091,30998,3986,-095,352
ETB,2008-11-14,41649,32913,4061,4127,31016,4044,308,634
ETB,2008-11-18,16547,4359,4036,4104,31019,4013,-093,352
ETB,2008-11-19,44965,36384,4007,4074,30920,4022,-094,352
ETB,2008-11-20,10474,50591,3989,4056,30689,3986,-076,319
ETB,2008-11-21,46805,38105,3954,4051,30688,3986,-115,383
ETB,2008-11-24,30117,19869,3983,4074,30887,4044,097,854
ETB,2008-11-25,42473,33783,4007,4110,30996,4050,096,854
ETB,2008-11-26,16821,4500,4013,4080,30919,4044,019,537
ETB,2008-11-27,15399,3101,4036,4104,31032,4074,076,814
ETB,2008-11-28,12378,53587,4061,4127,31142,4013,094,854
ETB,2008-12-01,41892,33636,4088,4163,31274,4104,093,854
ETB,2008-12-02,23918,13517,4137,4257,31367,4098,185,552
ETB,2008-12-03,5978,47827,4229,4337,32060,4173,382,700
ETB,2008-12-04,45487,38944,4179,4318,31992,4233,-21,113
ETB,2008-12-05,45644,38814,4188,4276,31846,4222,036,679
ETB,2008-12-09,16626,6273,4229,4314,32083,4258,178,552
ETB,2008-12-10,18238,8642,4304,4394,32327,4279,28,634
ETB,2008-12-11,17986,8455,4266,4398,32387,4296,-119,403
ETB,2008-12-12,41855,35175,4293,4358,32187,4279,086,854
ETB,2008-12-15,22203,13144,4251,4353,32226,4301,-137,426
ETB,2008-12-16,2341,44086,4242,4358,32228,4296,-035,195
ETB,2008-12-17,32000,24279,4242,4321,32165,4296,0,460
ETB,2008-12-18,38149,30982,4225,4308,32085,4264,-087,352
ETB,2008-12-19,27852,19263,4211,4308,32056,4240,-053,273
ETB,2008-12-22,27407,18642,4225,4298,31976,4250,053,762
ETB,2008-12-23,29200,20934,4231,4308,32087,4258,035,679
ETB,2008-12-24,13632,3014,4255,4325,32129,4264,105,888
ETB,2008-12-26,3852,45534,4231,4325,32104,4285,-104,383
ETB,2008-12-29,30014,21737,4231,4298,31974,4264,0,460
ETB,2008-12-30,30838,22755,4231,4325,32010,4271,0,460
ETB,2009-01-02,14303,3472,4231,4281,31958,4264,0,460
ETB,2009-01-05,8964,51100,4231,4289,31975,4264,0,460
ETB,2009-01-06,30186,22468,4266,4358,32322,4285,14,938
ETB,2009-01-07,27380,19308,4293,4365,32386,4296,086,854
ETB,2009-01-08,23701,14792,4293,4353,32261,4292,0,460
