Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
EXITO,2002-01-03,2928,33442,2758,1,25215,1,0,460
EXITO,2002-01-04,8768,40511,2758,1,25476,1,0,460
EXITO,2002-01-08,1,1,2758,1,1,1,0,460
EXITO,2002-01-09,1,1,2758,1,1,1,0,460
EXITO,2002-01-10,22056,1389,2758,2816,25179,2791,0,460
EXITO,2002-01-11,30630,10832,2758,1,24906,1,0,460
EXITO,2002-01-14,1,1,2758,1,1,1,0,460
EXITO,2002-01-15,1,1,2758,1,1,1,0,460
EXITO,2002-01-16,1,1,2758,1,1,1,0,460
EXITO,2002-01-17,5394,36247,2758,2816,25215,2791,0,460
EXITO,2002-01-18,1,1,2758,1,1,1,0,460
EXITO,2002-01-21,24673,4037,2711,2768,24906,2746,-141,357
EXITO,2002-01-22,22673,2330,2788,2842,25339,2817,229,940
EXITO,2002-01-23,22240,1261,2711,2768,24836,2734,-223,429
EXITO,2002-01-24,21809,122,2611,2731,24367,2647,-286,87
EXITO,2002-01-25,5932,36203,2653,2712,24572,2688,144,851
EXITO,2002-01-28,20908,53042,2611,2668,24325,2647,-142,350
EXITO,2002-01-29,34444,14705,2655,2712,24583,2690,147,860
EXITO,2002-01-30,34444,14705,2655,2712,24583,2690,0,460
EXITO,2002-01-31,1,1,2655,1,1,1,0,460
EXITO,2002-02-01,13791,45400,2653,2710,24567,2688,-003,75
EXITO,2002-02-04,5,29548,2653,1,24583,1,0,460
EXITO,2002-02-05,1055,30737,2655,2712,24570,2690,003,537
EXITO,2002-02-06,21807,77,2565,2668,24205,2604,-261,444
EXITO,2002-02-07,45291,26468,2565,1,23991,1,0,460
EXITO,2002-02-08,34184,14345,2655,2712,24506,2647,268,955
EXITO,2002-02-11,1083,30767,2655,2712,24575,2690,0,460
EXITO,2002-02-12,45944,27857,2655,1,24583,1,0,460
EXITO,2002-02-13,6246,36234,2613,2673,24359,2649,-142,350
EXITO,2002-02-14,36621,16917,2623,2682,24402,2651,041,613
EXITO,2002-02-15,36901,17203,2623,2683,24430,2661,0,460
EXITO,2002-02-18,33641,13646,2623,2682,24429,2661,0,460
EXITO,2002-02-19,7182,37267,2611,2670,24329,2647,-044,146
EXITO,2002-02-20,47137,28570,2611,1,23947,1,0,460
EXITO,2002-02-21,17706,49555,2650,2707,24464,2647,132,839
EXITO,2002-02-22,25415,4540,2650,1,24583,1,0,460
EXITO,2002-02-25,1180,30851,2655,2712,24547,2665,015,854
EXITO,2002-02-26,3427,32950,2655,1,24104,1,0,460
EXITO,2002-02-27,1,1,2655,1,1,1,0,460
EXITO,2002-02-28,1,1,2655,1,1,1,0,460
EXITO,2002-03-01,1,1,2655,1,1,1,0,460
EXITO,2002-03-04,47137,28548,2655,1,23925,1,0,460
EXITO,2002-03-05,27826,6302,2556,2609,23760,2595,-29,87
EXITO,2002-03-06,1,1,2556,1,1,1,0,460
EXITO,2002-03-07,1,1,2556,1,1,1,0,460
EXITO,2002-03-08,17646,49009,2556,1,23941,1,0,460
EXITO,2002-03-11,37834,17922,2565,2634,24001,2595,03,552
EXITO,2002-03-12,24725,3689,2655,2712,24517,2647,268,955
EXITO,2002-03-13,14762,47051,2770,2834,25243,2801,319,570
EXITO,2002-03-14,34060,14807,2758,2816,25064,2716,-028,86
EXITO,2002-03-15,33598,14190,2758,1,24906,1,0,460
EXITO,2002-03-18,1,1,2758,1,1,1,0,460
EXITO,2002-03-19,18718,50508,2758,1,24327,1,0,460
EXITO,2002-03-20,8777,38508,2521,2570,23639,2551,-676,234
EXITO,2002-03-21,1,1,2521,1,1,1,0,460
EXITO,2002-03-22,29591,8298,2515,2566,23667,2558,-012,319
EXITO,2002-03-26,27876,6580,2556,2609,23925,2595,133,836
EXITO,2002-03-27,1,1,2556,1,1,1,0,460
EXITO,2002-04-01,38388,18468,2551,2603,23853,2587,-015,352
EXITO,2002-04-02,738,29337,2508,2558,23605,2551,-135,341
EXITO,2002-04-03,41024,21163,2508,2558,23602,2551,0,460
EXITO,2002-04-04,23757,881,2425,2470,22921,2444,-242,429
EXITO,2002-04-05,26627,4456,2452,2501,23151,2496,093,772
EXITO,2002-04-08,34162,13382,2494,2544,23501,2537,145,845
EXITO,2002-04-09,34211,13662,2556,2609,23769,2535,161,870
EXITO,2002-04-10,30067,9158,2558,2612,23940,2595,003,537
EXITO,2002-04-11,7961,37892,2558,1,23925,1,0,460
EXITO,2002-04-12,42726,23538,2573,2632,24020,2595,057,665
EXITO,2002-04-15,18613,50036,2556,2609,23925,2595,-059,206
EXITO,2002-04-16,44355,24944,2508,2558,23607,2551,-149,357
EXITO,2002-04-17,46495,27456,2508,2565,23619,2539,0,460
