Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
FABRICATO,2002-01-03,1,1,546,1,1,1,0,460
FABRICATO,2002-01-04,1,1,546,1,1,1,0,460
FABRICATO,2002-01-08,1,1,546,1,1,1,0,460
FABRICATO,2002-01-09,1,1,546,1,1,1,0,460
FABRICATO,2002-01-10,1,1,546,1,1,1,0,460
FABRICATO,2002-01-11,1,1,546,1,1,1,0,460
FABRICATO,2002-01-14,21470,33704,547,560,6182,555,07,470
FABRICATO,2002-01-15,7758,17599,547,560,6186,556,0,460
FABRICATO,2002-01-16,1,1,547,1,1,1,0,460
FABRICATO,2002-01-17,1,1,547,1,1,1,0,460
FABRICATO,2002-01-18,1,1,547,1,1,1,0,460
FABRICATO,2002-01-21,1,1,547,1,1,1,0,460
FABRICATO,2002-01-22,43822,3864,547,1,6162,1,0,460
FABRICATO,2002-01-23,1,1,547,1,1,1,0,460
FABRICATO,2002-01-24,28619,41734,547,561,6190,556,0,460
FABRICATO,2002-01-25,1,1,547,1,1,1,0,460
FABRICATO,2002-01-28,1,1,547,1,1,1,0,460
FABRICATO,2002-01-29,1,1,547,1,1,1,0,460
FABRICATO,2002-01-30,1,1,547,1,1,1,0,460
FABRICATO,2002-01-31,1,1,547,1,1,1,0,460
FABRICATO,2002-02-01,15099,26191,546,559,6176,553,-07,10
FABRICATO,2002-02-04,6128,15431,546,559,6179,555,0,460
FABRICATO,2002-02-05,1,1,546,1,1,1,0,460
FABRICATO,2002-02-06,1,1,546,1,1,1,0,460
FABRICATO,2002-02-07,1,1,546,1,1,1,0,460
FABRICATO,2002-02-08,1,1,546,1,1,1,0,460
FABRICATO,2002-02-11,6621,16043,546,559,6179,555,0,460
FABRICATO,2002-02-12,1,1,546,1,1,1,0,460
FABRICATO,2002-02-13,12933,23439,546,1,6162,1,0,460
FABRICATO,2002-02-14,28623,41210,546,1,6162,1,0,460
FABRICATO,2002-02-15,45291,5740,546,1,6171,1,0,460
FABRICATO,2002-02-18,1,1,546,1,1,1,0,460
FABRICATO,2002-02-19,7,7970,546,1,6162,1,0,460
FABRICATO,2002-02-20,1,1,546,1,1,1,0,460
FABRICATO,2002-02-21,1,1,546,1,1,1,0,460
FABRICATO,2002-02-22,10451,20447,543,557,6162,553,-141,20
FABRICATO,2002-02-25,1,1,543,1,1,1,0,460
FABRICATO,2002-02-26,1,1,543,1,1,1,0,460
FABRICATO,2002-02-27,1,1,543,1,1,1,0,460
FABRICATO,2002-02-28,1,1,543,1,1,1,0,460
