Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
GRUPOAVAL,2002-01-03,1,1,594,1,1,1,0,460
GRUPOAVAL,2002-01-04,1,1,594,1,1,1,0,460
GRUPOAVAL,2002-01-08,1,1,594,1,1,1,0,460
GRUPOAVAL,2002-01-09,22134,34893,594,610,6755,606,0,460
GRUPOAVAL,2002-01-10,14313,25863,594,610,6753,606,0,460
GRUPOAVAL,2002-01-11,1201,10190,594,1,6746,1,0,460
GRUPOAVAL,2002-01-14,31703,45354,594,1,6859,1,0,460
GRUPOAVAL,2002-01-15,1,1,594,1,1,1,0,460
GRUPOAVAL,2002-01-16,10110,20866,594,610,6757,606,0,460
GRUPOAVAL,2002-01-17,35033,48971,594,1,6859,1,0,460
GRUPOAVAL,2002-01-18,7,8862,594,1,6859,1,0,460
GRUPOAVAL,2002-01-21,1,1,594,1,1,1,0,460
GRUPOAVAL,2002-01-22,22149,34922,594,1,6859,1,0,460
GRUPOAVAL,2002-01-23,16347,27383,594,1,6237,1,0,460
GRUPOAVAL,2002-01-24,22133,34851,594,1,6749,1,0,460
GRUPOAVAL,2002-01-25,22133,34901,594,1,6859,1,0,460
GRUPOAVAL,2002-01-28,38228,52005,594,1,6517,1,0,460
GRUPOAVAL,2002-01-29,36682,50577,594,1,6743,1,0,460
GRUPOAVAL,2002-01-30,22832,35584,594,1,6752,1,0,460
GRUPOAVAL,2002-01-31,1,1,594,1,1,1,0,460
GRUPOAVAL,2002-02-01,22934,35716,594,1,6859,1,0,460
GRUPOAVAL,2002-02-04,22133,34887,594,1,6754,1,0,460
GRUPOAVAL,2002-02-05,22133,34746,594,1,6742,1,0,460
GRUPOAVAL,2002-02-06,15840,27144,594,1,6389,1,0,460
GRUPOAVAL,2002-02-07,2299,11084,594,1,6516,1,0,460
GRUPOAVAL,2002-02-08,23950,36299,594,1,6516,1,0,460
GRUPOAVAL,2002-02-11,23518,35839,594,1,6390,1,0,460
GRUPOAVAL,2002-02-12,36682,50260,594,1,6516,1,0,460
GRUPOAVAL,2002-02-13,18858,30067,594,1,5828,1,0,460
GRUPOAVAL,2002-02-14,33021,46062,594,1,6238,1,0,460
GRUPOAVAL,2002-02-15,1008,9444,594,1,6387,1,0,460
GRUPOAVAL,2002-02-18,31695,44632,571,585,6239,563,-207,273
GRUPOAVAL,2002-02-19,13238,23955,571,1,6240,1,0,460
GRUPOAVAL,2002-02-20,37755,51410,586,601,6391,572,141,679
GRUPOAVAL,2002-02-21,32814,46513,586,1,6751,1,0,460
GRUPOAVAL,2002-02-22,2678,11876,594,610,6744,606,069,537
GRUPOAVAL,2002-02-25,35210,49024,594,1,6742,1,0,460
GRUPOAVAL,2002-02-26,24840,37789,594,1,6859,1,0,460
GRUPOAVAL,2002-02-27,1949,11120,594,610,6750,606,0,460
GRUPOAVAL,2002-02-28,8481,18245,594,610,6388,606,0,460
GRUPOAVAL,2002-03-01,28172,41499,594,610,6859,606,0,460
GRUPOAVAL,2002-03-04,26469,39686,594,610,6859,606,0,460
GRUPOAVAL,2002-03-05,7,8689,586,601,6742,598,-069,75
GRUPOAVAL,2002-03-06,4045,13414,594,610,6745,598,069,537
GRUPOAVAL,2002-03-07,31982,45653,594,610,6859,606,0,460
GRUPOAVAL,2002-03-08,8256,18532,594,610,6755,606,0,460
GRUPOAVAL,2002-03-11,19519,31919,594,1,6859,1,0,460
GRUPOAVAL,2002-03-12,5373,14862,594,1,6629,1,0,460
GRUPOAVAL,2002-03-13,40803,1239,594,610,6859,606,0,460
GRUPOAVAL,2002-03-14,1,1,594,1,1,1,0,460
GRUPOAVAL,2002-03-15,7712,17904,594,610,6859,606,0,460
GRUPOAVAL,2002-03-18,1,1,594,1,1,1,0,460
GRUPOAVAL,2002-03-19,45793,7015,594,610,6756,606,0,460
GRUPOAVAL,2002-03-20,43882,4767,594,1,6859,1,0,460
GRUPOAVAL,2002-03-21,17881,30053,594,610,6860,606,0,460
GRUPOAVAL,2002-03-22,46024,7251,594,610,6859,606,0,460
GRUPOAVAL,2002-03-26,44124,5043,594,610,6859,606,0,460
GRUPOAVAL,2002-03-27,20116,32565,594,610,6859,606,0,460
GRUPOAVAL,2002-04-01,1,1,594,1,1,1,0,460
GRUPOAVAL,2002-04-02,40306,720,594,1,6859,1,0,460
GRUPOAVAL,2002-04-03,43432,4144,594,610,6747,606,0,460
GRUPOAVAL,2002-04-04,30065,43615,594,1,6758,1,0,460
GRUPOAVAL,2002-04-05,3693,13084,594,1,6747,1,0,460
GRUPOAVAL,2002-04-08,14624,26345,594,610,6863,606,0,460
GRUPOAVAL,2002-04-09,34617,48573,594,1,6862,1,0,460
GRUPOAVAL,2002-04-10,18444,30846,603,619,6864,615,069,537
GRUPOAVAL,2002-04-11,16919,29133,611,629,6990,615,068,537
GRUPOAVAL,2002-04-12,30007,43867,620,639,7089,632,068,537
GRUPOAVAL,2002-04-15,2797,12067,594,639,6748,590,-203,273
GRUPOAVAL,2002-04-16,23133,36361,594,1,7215,1,0,460
GRUPOAVAL,2002-04-17,21736,34943,594,1,7215,1,0,460
GRUPOAVAL,2002-04-18,10074,21514,647,666,7327,659,345,854
GRUPOAVAL,2002-04-19,10062,21619,647,666,7334,659,0,460
GRUPOAVAL,2002-04-22,22134,35638,647,666,7526,659,0,460
GRUPOAVAL,2002-04-23,19691,32858,647,666,7526,659,0,460
GRUPOAVAL,2002-04-24,46487,8630,647,1,7336,1,0,460
GRUPOAVAL,2002-04-25,36681,51539,647,1,7526,1,0,460
GRUPOAVAL,2002-04-26,1897,11941,647,1,7526,1,0,460
GRUPOAVAL,2002-04-29,5525,16048,647,1,7526,1,0,460
GRUPOAVAL,2002-04-30,7352,18298,647,1,7526,1,0,460
GRUPOAVAL,2002-05-02,1,1,647,1,1,1,0,460
GRUPOAVAL,2002-05-03,2474,12553,647,666,7526,659,0,460
GRUPOAVAL,2002-05-06,16319,28939,647,666,7330,659,0,460
GRUPOAVAL,2002-05-07,20005,33196,647,666,7332,659,0,460
GRUPOAVAL,2002-05-08,12507,24472,647,666,7526,659,0,460
GRUPOAVAL,2002-05-09,23521,36940,647,1,7324,1,0,460
GRUPOAVAL,2002-05-10,13851,25913,647,1,7219,1,0,460
GRUPOAVAL,2002-05-14,13852,26180,647,666,7526,659,0,460
GRUPOAVAL,2002-05-15,14142,26500,647,666,7337,659,0,460
GRUPOAVAL,2002-05-16,34666,49113,647,666,7218,632,0,460
GRUPOAVAL,2002-05-17,27328,41089,620,639,7217,606,-133,195
GRUPOAVAL,2002-05-20,8879,20133,647,666,7329,659,135,679
GRUPOAVAL,2002-05-21,14642,27075,647,666,7330,659,0,460
GRUPOAVAL,2002-05-22,14449,26862,647,666,7333,659,0,460
GRUPOAVAL,2002-05-23,8211,19366,647,666,7526,659,0,460
GRUPOAVAL,2002-05-24,10709,22400,647,666,7333,659,0,460
GRUPOAVAL,2002-05-27,37414,52253,647,666,7328,623,0,460
GRUPOAVAL,2002-05-28,32826,47312,647,1,7526,1,0,460
GRUPOAVAL,2002-05-29,13764,25903,647,666,7322,623,0,460
GRUPOAVAL,2002-05-30,34412,48932,647,1,7325,1,0,460
GRUPOAVAL,2002-05-31,36432,51287,647,666,7526,659,0,460
GRUPOAVAL,2002-06-05,23257,36801,647,1,7526,1,0,460
GRUPOAVAL,2002-06-06,4397,14717,647,666,7526,659,0,460
GRUPOAVAL,2002-06-07,13698,25993,647,666,7526,659,0,460
GRUPOAVAL,2002-06-11,45790,7796,647,666,7526,659,0,460
GRUPOAVAL,2002-06-12,46393,8495,647,1,7331,1,0,460
GRUPOAVAL,2002-06-13,33111,47664,647,1,7527,1,0,460
GRUPOAVAL,2002-06-14,9044,20216,647,666,7326,659,0,460
GRUPOAVAL,2002-06-17,1,1,647,1,1,1,0,460
GRUPOAVAL,2002-06-18,36770,51609,655,676,7335,640,067,537
GRUPOAVAL,2002-06-19,303,10162,655,1,7531,1,0,460
GRUPOAVAL,2002-06-20,21064,34512,655,1,7528,1,0,460
GRUPOAVAL,2002-06-21,30631,45131,655,1,7669,1,0,460
GRUPOAVAL,2002-06-24,1,1,655,1,1,1,0,460
GRUPOAVAL,2002-06-25,1468,11674,655,676,7675,668,0,460
GRUPOAVAL,2002-06-26,442,10378,647,666,7670,659,-066,75
GRUPOAVAL,2002-06-27,41184,2579,647,1,7529,1,0,460
GRUPOAVAL,2002-06-28,8793,20406,664,685,7799,677,133,679
GRUPOAVAL,2002-07-02,1,1,664,1,1,1,0,460
GRUPOAVAL,2002-07-03,45551,7713,664,1,7671,1,0,460
GRUPOAVAL,2002-07-04,22133,35910,664,1,7799,1,0,460
GRUPOAVAL,2002-07-05,30445,45029,664,1,7674,1,0,460
GRUPOAVAL,2002-07-08,972,11028,664,1,7673,1,0,460
GRUPOAVAL,2002-07-09,41751,3446,664,1,7799,1,0,460
GRUPOAVAL,2002-07-10,46694,9210,664,1,7676,1,0,460
GRUPOAVAL,2002-07-11,36624,51806,664,1,7799,1,0,460
GRUPOAVAL,2002-07-12,39378,926,664,1,7801,1,0,460
GRUPOAVAL,2002-07-15,22353,36265,673,694,7927,687,066,537
GRUPOAVAL,2002-07-16,4468,15394,682,703,7928,696,065,537
GRUPOAVAL,2002-07-17,10823,23196,690,711,8047,705,065,537
GRUPOAVAL,2002-07-18,16748,30241,690,711,8049,705,0,460
GRUPOAVAL,2002-07-19,4394,15495,690,711,8163,705,0,460
GRUPOAVAL,2002-07-22,29621,44628,690,1,8163,1,0,460
GRUPOAVAL,2002-07-23,45589,8403,690,711,8163,705,0,460
GRUPOAVAL,2002-07-24,41263,3513,698,722,8296,714,065,537
GRUPOAVAL,2002-07-25,43239,5699,698,722,8296,714,0,460
GRUPOAVAL,2002-07-26,2738,13701,698,722,8296,714,0,460
GRUPOAVAL,2002-07-29,34159,49879,708,731,8419,723,064,537
GRUPOAVAL,2002-07-30,2464,13566,708,731,8419,723,0,460
GRUPOAVAL,2002-07-31,43177,5766,708,731,8419,723,0,460
GRUPOAVAL,2002-08-01,1,1,708,1,1,1,0,460
GRUPOAVAL,2002-08-02,31346,46727,708,1,8419,1,0,460
GRUPOAVAL,2002-08-05,1,1,708,1,1,1,0,460
GRUPOAVAL,2002-08-06,12359,25356,708,731,8419,723,0,460
GRUPOAVAL,2002-08-08,40362,2825,717,740,8424,732,064,537
GRUPOAVAL,2002-08-09,44514,7531,717,1,8554,1,0,460
GRUPOAVAL,2002-08-12,35616,51749,726,750,8705,741,063,537
GRUPOAVAL,2002-08-13,5745,17742,726,750,8705,741,0,460
GRUPOAVAL,2002-08-14,13852,27550,726,750,8558,741,0,460
GRUPOAVAL,2002-08-15,10596,23658,726,750,8559,741,0,460
GRUPOAVAL,2002-08-16,5180,17051,726,750,8705,741,0,460
GRUPOAVAL,2002-08-20,43829,6577,726,1,8419,1,0,460
GRUPOAVAL,2002-08-21,2324,13255,726,1,8296,1,0,460
GRUPOAVAL,2002-08-22,45259,8284,726,1,8419,1,0,460
GRUPOAVAL,2002-08-23,13139,26337,726,1,8419,1,0,460
GRUPOAVAL,2002-08-26,22251,36789,726,1,8420,1,0,460
GRUPOAVAL,2002-08-27,46543,9980,717,740,8553,732,-063,75
GRUPOAVAL,2002-08-28,43090,5338,717,1,8048,1,0,460
GRUPOAVAL,2002-08-29,40913,3272,717,1,8297,1,0,460
GRUPOAVAL,2002-08-30,43437,6132,717,740,8421,723,0,460
GRUPOAVAL,2002-09-02,27710,42980,717,1,8553,1,0,460
GRUPOAVAL,2002-09-03,1,1,717,1,1,1,0,460
GRUPOAVAL,2002-09-04,19789,34208,717,740,8423,732,0,460
GRUPOAVAL,2002-09-05,32821,48668,717,1,8560,1,0,460
GRUPOAVAL,2002-09-06,22929,37804,717,1,8705,1,0,460
GRUPOAVAL,2002-09-09,17355,31572,726,750,8705,741,063,537
GRUPOAVAL,2002-09-10,39987,2583,726,1,8561,1,0,460
GRUPOAVAL,2002-09-11,11444,24906,726,1,9053,1,0,460
GRUPOAVAL,2002-09-12,35289,51379,726,1,8705,1,0,460
GRUPOAVAL,2002-09-13,44643,7609,726,1,8422,1,0,460
GRUPOAVAL,2002-09-16,44229,7301,746,769,8557,761,063,537
GRUPOAVAL,2002-09-17,42856,5837,746,1,8916,1,0,460
GRUPOAVAL,2002-09-18,1023,12320,746,1,8711,1,0,460
GRUPOAVAL,2002-09-19,7,11204,746,769,8715,761,0,460
