Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
ISA,2002-12-24,1,1,1,1,1,1,0,460
ISA,2002-12-26,1,1,1,1,1,1,0,460
ISA,2002-12-27,1,1,1,1,1,1,0,460
ISA,2002-12-30,1,1,1,1,1,1,0,460
ISA,2003-01-02,42403,48558,149,159,343,154,-049,556
ISA,2003-01-03,15716,18701,141,147,264,144,-099,86
ISA,2003-01-07,30702,35610,5844,5934,40366,5911,-05,352
ISA,2003-01-08,37964,42815,5797,5878,39996,5827,-231,227
ISA,2003-01-09,4639,5010,5813,5915,40203,5865,082,938
ISA,2003-01-10,43653,49405,5818,5915,40216,5881,02,679
ISA,2003-01-13,42764,48197,5813,5894,40143,5867,-02,195
ISA,2003-01-14,5993,6256,5793,5884,40052,5851,-102,86
ISA,2003-01-15,41033,46070,5771,5873,40008,5835,-103,86
ISA,2003-01-16,584,53713,5771,5851,39938,5835,0,460
ISA,2003-01-17,5413,5376,5771,5851,39937,5835,0,460
ISA,2003-01-20,45611,50940,5760,5837,39879,5821,-052,352
ISA,2003-01-21,31107,34884,5734,5825,39742,5799,-136,125
ISA,2003-01-22,29348,32746,5734,1,39648,1,0,460
ISA,2003-01-23,41981,46316,5721,5794,39606,5782,-064,383
ISA,2003-01-24,39694,43991,5721,5794,39609,5784,0,460
ISA,2003-01-27,110,52229,5688,5770,39386,5756,-171,158
ISA,2003-01-28,46197,50767,5698,5770,39385,5756,054,854
ISA,2003-01-29,5256,4294,5698,5772,39421,5756,0,460
ISA,2003-01-30,8005,7576,5700,5782,39472,5764,011,537
ISA,2003-01-31,28637,31733,5709,5782,39481,5768,043,814
ISA,2003-02-03,2230,1151,5732,5825,39709,5775,118,569
ISA,2003-02-04,33169,36943,5725,5798,39658,5792,-032,273
ISA,2003-02-05,33500,37109,5688,5804,39512,5756,-192,176
ISA,2003-02-06,34759,38287,5688,5761,39340,5756,0,460
ISA,2003-02-07,29640,32655,5688,5761,39339,5756,0,460
ISA,2003-02-10,36875,40504,5682,5757,39264,5745,-022,195
ISA,2003-02-11,37572,41307,5690,5765,39291,5758,033,762
ISA,2003-02-12,2387,810,5688,5763,39341,5756,-011,75
ISA,2003-02-13,34287,37614,5678,5751,39221,5745,-043,319
ISA,2003-02-14,35668,39184,5676,5749,39220,5745,-011,75
ISA,2003-02-17,31981,35019,5668,5741,39144,5737,-044,319
ISA,2003-02-18,1113,53050,5668,5741,39142,5734,0,460
ISA,2003-02-19,29380,32112,5665,5738,39140,5734,-011,75
ISA,2003-02-20,44498,48317,5642,5728,38985,5710,-11,86
ISA,2003-02-21,22359,23972,5642,5716,38954,5710,0,460
ISA,2003-02-24,33234,36269,5661,5738,39093,5728,1,953
ISA,2003-02-25,40416,44222,5680,5763,39188,5734,088,938
ISA,2003-02-26,3137,1642,5676,5761,39272,5745,-022,195
ISA,2003-02-27,18453,19526,5654,5728,39049,5722,-109,86
ISA,2003-02-28,44006,47737,5652,5726,38956,5710,-011,75
ISA,2003-03-03,42333,45920,5656,5730,39008,5714,022,679
ISA,2003-03-04,38008,41598,5688,5761,39203,5722,155,613
ISA,2003-03-05,26677,30671,5813,5894,40053,5812,652,892
ISA,2003-03-06,5625,5861,5793,5880,40091,5860,-102,86
ISA,2003-03-07,9823,10411,5749,5851,39854,5812,-206,206
ISA,2003-03-10,31865,35779,5749,5825,39818,5812,0,460
ISA,2003-03-11,42416,47152,5749,5825,39821,5812,0,460
ISA,2003-03-12,16505,18194,5745,5819,39785,5807,-021,195
ISA,2003-03-13,33647,37774,5749,5825,39816,5807,021,679
ISA,2003-03-14,40640,45271,5745,5821,39801,5807,-021,195
ISA,2003-03-17,42723,46862,5700,5792,39422,5756,-232,219
ISA,2003-03-18,43283,47454,5698,5782,39403,5756,-011,75
ISA,2003-03-19,6144,5408,5719,5800,39477,5764,108,552
ISA,2003-03-20,9500,9398,5702,5774,39474,5768,-086,426
