Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
ISAGEN,2007-10-17,12844,29789,1037,1080,11615,1056,-134,659
ISAGEN,2007-10-18,44301,10789,1025,1072,11558,1048,-082,146
ISAGEN,2007-10-19,32431,51360,1025,1065,11520,1052,0,460
ISAGEN,2007-10-22,5855,21054,1017,1065,11419,1036,-055,86
ISAGEN,2007-10-23,37281,2833,1033,1069,11561,1048,11,689
ISAGEN,2007-10-24,18523,35878,1017,1057,11481,1044,-109,206
ISAGEN,2007-10-25,27050,45544,1025,1069,11547,1048,055,552
ISAGEN,2007-10-26,26715,45640,1065,1110,11819,1048,275,860
ISAGEN,2007-10-29,24338,43347,1099,1132,11940,1085,16,772
ISAGEN,2007-10-30,34648,1315,1144,1181,12376,1085,263,860
ISAGEN,2007-10-31,11036,28872,1131,1181,12436,1152,-077,146
ISAGEN,2007-11-01,30509,51104,1173,1212,12575,1152,258,860
ISAGEN,2007-11-02,22494,42574,1164,1281,12673,1165,-05,86
ISAGEN,2007-11-06,20377,40120,1160,1208,12603,1128,-025,352
ISAGEN,2007-11-07,33213,436,1177,1286,12705,1171,102,689
ISAGEN,2007-11-08,8117,25750,1157,1200,12576,1185,-126,244
ISAGEN,2007-11-09,39484,6960,1157,1204,12513,1175,0,460
ISAGEN,2007-11-13,24709,44641,1153,1186,12511,1175,-025,352
ISAGEN,2007-11-14,42268,10640,1264,1308,12944,1189,306,892
ISAGEN,2007-11-15,10094,30050,1362,1442,13894,1280,545,570
ISAGEN,2007-11-16,35678,5003,1358,1435,14004,1370,-023,352
ISAGEN,2007-11-19,44596,14350,1318,1404,13698,1345,-188,325
ISAGEN,2007-11-20,23436,45163,1376,1416,13863,1345,312,901
ISAGEN,2007-11-21,12994,33207,1358,1400,13801,1374,-116,244
ISAGEN,2007-11-22,25163,47086,1368,1416,13916,1370,071,623
ISAGEN,2007-11-23,21381,43172,1376,1416,13950,1395,047,552
ISAGEN,2007-11-26,46887,17356,1362,1397,13830,1382,-093,206
ISAGEN,2007-11-27,45,18014,1368,1400,13854,1385,047,552
ISAGEN,2007-11-28,22640,44439,1372,1412,13927,1392,023,854
ISAGEN,2007-11-29,25623,47361,1354,1397,13776,1370,-117,244
ISAGEN,2007-11-30,3943,22556,1347,1400,13743,1288,-047,86
ISAGEN,2007-12-03,2095,20173,1354,1391,13558,1345,047,552
ISAGEN,2007-12-04,5846,24376,1309,1372,13416,1337,-212,341
ISAGEN,2007-12-05,41123,10203,1309,1354,13364,1329,0,460
ISAGEN,2007-12-06,1311,18874,1313,1346,13345,1329,024,854
ISAGEN,2007-12-07,12084,31632,1301,1346,13332,1329,-072,146
ISAGEN,2007-12-10,7106,25620,1309,1343,13283,1329,048,552
ISAGEN,2007-12-11,21017,41933,1340,1383,13421,1321,12,732
ISAGEN,2007-12-12,21082,41982,1309,1372,13389,1333,-119,244
ISAGEN,2007-12-13,46078,15850,1322,1372,13417,1333,072,623
ISAGEN,2007-12-14,25883,47250,1340,1380,13424,1329,048,552
ISAGEN,2007-12-17,39738,8653,1309,1346,13362,1337,-119,244
ISAGEN,2007-12-18,14910,34829,1282,1343,13280,1313,-169,300
ISAGEN,2007-12-19,34271,2344,1297,1333,13232,1313,098,689
ISAGEN,2007-12-20,3190,20868,1289,1329,13174,1301,-049,86
