Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
MINEROS,2002-01-03,1,1,708,1,1,1,0,460
MINEROS,2002-01-04,1,1,708,1,1,1,0,460
MINEROS,2002-01-08,1,1,708,1,1,1,0,460
MINEROS,2002-01-09,1,1,708,1,1,1,0,460
MINEROS,2002-01-10,1,1,708,1,1,1,0,460
MINEROS,2002-01-11,1,1,708,1,1,1,0,460
MINEROS,2002-01-14,41458,8302,1080,1113,11977,1109,2038,783
MINEROS,2002-01-15,7,13947,1007,1037,11356,1035,-476,442
MINEROS,2002-01-16,2164,17894,1098,1131,12227,1127,556,552
MINEROS,2002-01-17,39965,7366,1143,1171,12450,1170,263,854
MINEROS,2002-01-18,22133,41692,1143,1,12450,1,0,460
MINEROS,2002-01-21,1,1,1143,1,1,1,0,460
MINEROS,2002-01-22,1,1,1143,1,1,1,0,460
MINEROS,2002-01-23,1,1,1143,1,1,1,0,460
MINEROS,2002-01-24,1,1,1143,1,1,1,0,460
MINEROS,2002-01-25,1,1,1143,1,1,1,0,460
MINEROS,2002-01-28,1,1,1143,1,1,1,0,460
MINEROS,2002-01-29,1,1,1143,1,1,1,0,460
MINEROS,2002-01-30,1,1,1143,1,1,1,0,460
MINEROS,2002-01-31,1,1,1143,1,1,1,0,460
MINEROS,2002-02-01,1,1,1143,1,1,1,0,460
MINEROS,2002-02-04,1,1,1143,1,1,1,0,460
MINEROS,2002-02-05,1,1,1143,1,1,1,0,460
MINEROS,2002-02-06,10161,27299,1143,1,12148,1,0,460
MINEROS,2002-02-07,27254,44932,1143,1,10870,1,0,460
MINEROS,2002-02-08,1,1,1143,1,1,1,0,460
MINEROS,2002-02-11,1,1,1143,1,1,1,0,460
MINEROS,2002-02-12,29912,48308,1143,1,11356,1,0,460
MINEROS,2002-02-13,1,1,1143,1,1,1,0,460
MINEROS,2002-02-14,1,1,1143,1,1,1,0,460
MINEROS,2002-02-15,1,1,1143,1,1,1,0,460
MINEROS,2002-02-18,20804,38318,1007,1037,11356,1035,-769,146
MINEROS,2002-02-19,1,1,1007,1,1,1,0,460
MINEROS,2002-02-20,1,1,1007,1,1,1,0,460
MINEROS,2002-02-21,1,1,1007,1,1,1,0,460
MINEROS,2002-02-22,1,1,1007,1,1,1,0,460
MINEROS,2002-02-25,1,1,1007,1,1,1,0,460
MINEROS,2002-02-26,1,1,1007,1,1,1,0,460
MINEROS,2002-02-27,1,1,1007,1,1,1,0,460
MINEROS,2002-02-28,1,1,1007,1,1,1,0,460
MINEROS,2002-03-01,1,1,1007,1,1,1,0,460
MINEROS,2002-03-04,1,1,1007,1,1,1,0,460
MINEROS,2002-03-05,1,1,1007,1,1,1,0,460
MINEROS,2002-03-06,46531,12760,1007,1,11059,1,0,460
MINEROS,2002-03-07,34411,53273,1007,1,11356,1,0,460
MINEROS,2002-03-08,1,1,1007,1,1,1,0,460
MINEROS,2002-03-11,34817,53797,1007,1,11356,1,0,460
MINEROS,2002-03-12,1,1,1007,1,1,1,0,460
MINEROS,2002-03-13,21791,39523,1007,1,11356,1,0,460
MINEROS,2002-03-14,1,1,1007,1,1,1,0,460
MINEROS,2002-03-15,1,1,1007,1,1,1,0,460
MINEROS,2002-03-18,1,1,1007,1,1,1,0,460
MINEROS,2002-03-19,1,1,1007,1,1,1,0,460
MINEROS,2002-03-20,14950,30416,1007,1,10193,1,0,460
MINEROS,2002-03-21,10345,26220,1007,1,11356,1,0,460
MINEROS,2002-03-22,1,1,1007,1,1,1,0,460
MINEROS,2002-03-26,1,1,1007,1,1,1,0,460
MINEROS,2002-03-27,1,1,1007,1,1,1,0,460
MINEROS,2002-04-01,1,1,1007,1,1,1,0,460
MINEROS,2002-04-02,1,1,1007,1,1,1,0,460
MINEROS,2002-04-03,1,1,1007,1,1,1,0,460
MINEROS,2002-04-04,1,1,1007,1,1,1,0,460
MINEROS,2002-04-05,1,1,1007,1,1,1,0,460
MINEROS,2002-04-08,1,1,1007,1,1,1,0,460
MINEROS,2002-04-09,1948,16841,1007,1,11716,1,0,460
MINEROS,2002-04-10,1,1,1007,1,1,1,0,460
MINEROS,2002-04-11,28172,46996,1007,1,11716,1,0,460
MINEROS,2002-04-12,25322,43925,1007,1,11638,1,0,460
