Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
OCCIDENTE,2002-01-03,24511,1750,2405,1,22877,1,0,460
OCCIDENTE,2002-01-04,31358,9076,2405,1,22433,1,0,460
OCCIDENTE,2002-01-08,1,1,2405,1,1,1,0,460
OCCIDENTE,2002-01-09,29908,8604,2508,2558,23600,2551,313,553
OCCIDENTE,2002-01-10,1,1,2508,1,1,1,0,460
OCCIDENTE,2002-01-11,1,1,2508,1,1,1,0,460
OCCIDENTE,2002-01-14,8209,39914,2815,2867,25476,2845,909,773
OCCIDENTE,2002-01-15,1170,31844,2803,2867,25417,2833,-003,75
OCCIDENTE,2002-01-16,27215,7519,2803,2855,25415,2833,0,460
OCCIDENTE,2002-01-17,40289,22136,2803,1,25224,1,0,460
OCCIDENTE,2002-01-18,14424,46988,2815,2867,25476,2845,003,537
OCCIDENTE,2002-01-21,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-01-22,4,30545,2815,1,25476,1,0,460
OCCIDENTE,2002-01-23,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-01-24,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-01-25,11821,44045,2815,1,25476,1,0,460
OCCIDENTE,2002-01-28,39962,22116,2815,1,25476,1,0,460
OCCIDENTE,2002-01-29,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-01-30,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-01-31,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-01,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-04,5,30546,2815,1,25476,1,0,460
OCCIDENTE,2002-02-05,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-06,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-07,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-08,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-11,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-12,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-13,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-14,5319,36480,2815,1,25476,1,0,460
OCCIDENTE,2002-02-15,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-18,17510,49196,2815,1,24325,1,0,460
OCCIDENTE,2002-02-19,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-20,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-21,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-22,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-25,30630,11544,2815,1,25414,1,0,460
OCCIDENTE,2002-02-26,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-27,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-02-28,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-03-01,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-03-04,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-03-05,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-03-06,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-03-07,24336,3356,2661,2719,24610,2695,-403,142
OCCIDENTE,2002-03-08,1,1,2661,1,1,1,0,460
OCCIDENTE,2002-03-11,1,1,2661,1,1,1,0,460
OCCIDENTE,2002-03-12,1,1,2661,1,1,1,0,460
OCCIDENTE,2002-03-13,1,1,2661,1,1,1,0,460
OCCIDENTE,2002-03-14,31897,10877,2661,1,23600,1,0,460
OCCIDENTE,2002-03-15,8207,39595,2661,1,25215,1,0,460
OCCIDENTE,2002-03-18,1,1,2661,1,1,1,0,460
OCCIDENTE,2002-03-19,1,1,2661,1,1,1,0,460
OCCIDENTE,2002-03-20,1,1,2661,1,1,1,0,460
OCCIDENTE,2002-03-21,1,1,2661,1,1,1,0,460
OCCIDENTE,2002-03-22,31235,11194,2661,1,24583,1,0,460
OCCIDENTE,2002-03-26,1,1,2661,1,1,1,0,460
OCCIDENTE,2002-03-27,8808,40363,2661,1,25291,1,0,460
OCCIDENTE,2002-04-01,18442,50867,2711,2768,24906,2746,13,839
OCCIDENTE,2002-04-02,5284,35946,2711,1,25048,1,0,460
OCCIDENTE,2002-04-03,1,1,2711,1,1,1,0,460
OCCIDENTE,2002-04-04,37031,18520,2711,1,25316,1,0,460
OCCIDENTE,2002-04-05,1,1,2711,1,1,1,0,460
OCCIDENTE,2002-04-08,32819,13936,2711,1,25414,1,0,460
OCCIDENTE,2002-04-09,1,1,2711,1,1,1,0,460
OCCIDENTE,2002-04-10,1,1,2711,1,1,1,0,460
OCCIDENTE,2002-04-11,28845,9427,2815,2867,25476,2845,286,553
OCCIDENTE,2002-04-12,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-04-15,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-04-16,46131,29064,2815,1,25476,1,0,460
OCCIDENTE,2002-04-17,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-04-18,10817,42887,2815,1,25476,1,0,460
OCCIDENTE,2002-04-19,11310,43139,2815,1,25215,1,0,460
OCCIDENTE,2002-04-22,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-04-23,39456,21508,2815,2867,25476,2845,0,460
OCCIDENTE,2002-04-24,15830,48575,2815,1,25487,1,0,460
OCCIDENTE,2002-04-25,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-04-26,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-04-29,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-04-30,14120,46734,2823,2875,25525,2855,028,552
OCCIDENTE,2002-05-02,32819,14250,2823,1,25674,1,0,460
OCCIDENTE,2002-05-03,1,1,2823,1,1,1,0,460
OCCIDENTE,2002-05-06,1,1,2823,1,1,1,0,460
OCCIDENTE,2002-05-07,1,1,2823,1,1,1,0,460
OCCIDENTE,2002-05-08,32817,14542,2823,1,25864,1,0,460
OCCIDENTE,2002-05-09,1,1,2823,1,1,1,0,460
OCCIDENTE,2002-05-10,1,1,2823,1,1,1,0,460
OCCIDENTE,2002-05-14,32692,13925,2872,2929,25559,2845,18,901
OCCIDENTE,2002-05-15,4629,35715,2815,2870,25481,2845,-204,415
OCCIDENTE,2002-05-16,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-05-17,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-05-20,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-05-21,16208,49635,2815,1,25864,1,0,460
OCCIDENTE,2002-05-22,1,1,2815,1,1,1,0,460
OCCIDENTE,2002-05-23,40948,23494,2815,1,25685,1,0,460
OCCIDENTE,2002-05-24,35821,18703,2991,3040,26244,3030,556,691
OCCIDENTE,2002-05-27,25357,6770,2993,3042,26223,3032,003,537
OCCIDENTE,2002-05-28,1,1,2993,1,1,1,0,460
OCCIDENTE,2002-05-29,13847,47609,2993,1,26217,1,0,460
OCCIDENTE,2002-05-30,1,1,2993,1,1,1,0,460
OCCIDENTE,2002-05-31,1,1,2993,1,1,1,0,460
OCCIDENTE,2002-06-05,22001,2976,2993,1,26234,1,0,460
OCCIDENTE,2002-06-06,2,32358,2993,1,26621,1,0,460
OCCIDENTE,2002-06-07,41660,26453,3229,3284,27283,3267,589,714
OCCIDENTE,2002-06-11,13178,48330,3247,3302,27461,3286,062,732
OCCIDENTE,2002-06-12,44541,30497,3314,3402,27665,3314,252,557
OCCIDENTE,2002-06-13,41456,27531,3314,1,27923,1,0,460
OCCIDENTE,2002-06-14,9684,45455,3380,3437,27980,3409,332,610
OCCIDENTE,2002-06-17,45117,32680,3502,3560,28426,3458,49,701
OCCIDENTE,2002-06-18,4270,40580,3504,3562,28680,3550,002,537
OCCIDENTE,2002-06-19,14063,51788,3504,1,28677,1,0,460
OCCIDENTE,2002-06-20,38668,25853,3502,3562,28678,3550,-002,75
OCCIDENTE,2002-06-21,34816,21694,3502,1,28682,1,0,460
OCCIDENTE,2002-06-24,2,35635,3502,1,28672,1,0,460
OCCIDENTE,2002-06-25,45198,33211,3502,1,28672,1,0,460
OCCIDENTE,2002-06-26,12065,49391,3502,1,28672,1,0,460
OCCIDENTE,2002-06-27,13850,51530,3490,3548,28598,3539,-002,75
OCCIDENTE,2002-06-28,17601,1833,3490,3548,28594,3539,0,460
OCCIDENTE,2002-07-02,13850,51290,3490,1,28493,1,0,460
OCCIDENTE,2002-07-03,1,1,3490,1,1,1,0,460
OCCIDENTE,2002-07-04,1,1,3490,1,1,1,0,460
OCCIDENTE,2002-07-05,18440,2810,3490,1,28672,1,0,460
OCCIDENTE,2002-07-08,42337,29447,3490,1,28390,1,0,460
OCCIDENTE,2002-07-09,3984,39711,3449,3507,28390,3494,-22,458
OCCIDENTE,2002-07-10,1,1,3449,1,1,1,0,460
OCCIDENTE,2002-07-11,47139,34957,3452,3514,28396,3496,005,679
OCCIDENTE,2002-07-12,1,1,3452,1,1,1,0,460
OCCIDENTE,2002-07-15,34631,20915,3449,3507,28390,3494,-005,195
OCCIDENTE,2002-07-16,35066,21387,3449,3507,28390,3494,0,460
OCCIDENTE,2002-07-17,1,1,3449,1,1,1,0,460
OCCIDENTE,2002-07-18,819,36475,3449,1,28600,1,0,460
OCCIDENTE,2002-07-19,27081,12380,3460,3518,28439,3504,045,689
OCCIDENTE,2002-07-22,14992,52739,3460,1,28589,1,0,460
OCCIDENTE,2002-07-23,30095,15567,3460,1,28390,1,0,460
OCCIDENTE,2002-07-24,1,1,3460,1,1,1,0,460
OCCIDENTE,2002-07-25,1,1,3460,1,1,1,0,460
OCCIDENTE,2002-07-26,1,1,3460,1,1,1,0,460
OCCIDENTE,2002-07-29,1,1,3460,1,1,1,0,460
OCCIDENTE,2002-07-30,1,1,3460,1,1,1,0,460
OCCIDENTE,2002-07-31,5,35637,3460,1,28672,1,0,460
OCCIDENTE,2002-08-01,37272,24334,3460,1,28672,1,0,460
OCCIDENTE,2002-08-02,1,1,3460,1,1,1,0,460
OCCIDENTE,2002-08-05,1,1,3460,1,1,1,0,460
OCCIDENTE,2002-08-06,21823,6765,3502,3560,28672,3550,181,940
OCCIDENTE,2002-08-08,32681,19189,3502,3560,28599,3550,0,460
OCCIDENTE,2002-08-09,9512,46396,3502,3560,28672,3550,0,460
OCCIDENTE,2002-08-12,5831,42288,3502,3560,28675,3550,0,460
OCCIDENTE,2002-08-13,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-08-14,32819,19365,3502,1,28672,1,0,460
OCCIDENTE,2002-08-15,36436,23946,3548,3611,28898,3601,222,553
OCCIDENTE,2002-08-16,155,35772,3502,3560,28673,3550,-217,87
OCCIDENTE,2002-08-20,29917,15888,3502,1,28672,1,0,460
OCCIDENTE,2002-08-21,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-08-22,32820,19366,3502,3560,28672,3550,0,460
OCCIDENTE,2002-08-23,38145,25297,3502,3562,28679,3550,0,460
OCCIDENTE,2002-08-26,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-08-27,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-08-28,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-08-29,32820,19654,3522,3583,28801,3571,111,860
OCCIDENTE,2002-08-30,1,1,3522,1,1,1,0,460
OCCIDENTE,2002-09-02,33463,20194,3504,3562,28702,3552,-108,350
OCCIDENTE,2002-09-03,1,1,3504,1,1,1,0,460
OCCIDENTE,2002-09-04,1,1,3504,1,1,1,0,460
OCCIDENTE,2002-09-05,17600,2109,3504,1,28801,1,0,460
OCCIDENTE,2002-09-06,1,1,3504,1,1,1,0,460
OCCIDENTE,2002-09-09,31861,18196,3502,3569,28676,3550,-002,75
OCCIDENTE,2002-09-10,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-09-11,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-09-12,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-09-13,37272,24084,3502,1,28493,1,0,460
OCCIDENTE,2002-09-16,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-09-17,38080,25166,3487,3545,28580,3535,-022,86
OCCIDENTE,2002-09-18,1,1,3487,1,1,1,0,460
OCCIDENTE,2002-09-19,1,1,3487,1,1,1,0,460
OCCIDENTE,2002-09-20,117,35743,3505,3563,28687,3553,027,585
OCCIDENTE,2002-09-23,28598,14377,3505,1,28689,1,0,460
OCCIDENTE,2002-09-24,32368,18790,3502,3560,28672,3550,-004,195
OCCIDENTE,2002-09-25,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-09-26,1,1,3502,1,1,1,0,460
OCCIDENTE,2002-09-27,29527,15896,3548,3611,28879,3601,222,553
OCCIDENTE,2002-09-30,1,1,3548,1,1,1,0,460
OCCIDENTE,2002-10-01,1,1,3548,1,1,1,0,460
OCCIDENTE,2002-10-02,32734,19253,3548,1,28672,1,0,460
OCCIDENTE,2002-10-03,1,1,3548,1,1,1,0,460
OCCIDENTE,2002-10-04,1,1,3548,1,1,1,0,460
OCCIDENTE,2002-10-07,26238,12804,3593,3656,29170,3650,217,553
OCCIDENTE,2002-10-08,14364,52621,3548,3611,28989,3601,-213,87
OCCIDENTE,2002-10-09,2875,39931,3548,1,29201,1,0,460
OCCIDENTE,2002-10-10,29298,16208,3548,1,29204,1,0,460
OCCIDENTE,2002-10-11,1,1,3548,1,1,1,0,460
OCCIDENTE,2002-10-15,1,1,3548,1,1,1,0,460
OCCIDENTE,2002-10-16,25930,11556,3548,1,28672,1,0,460
OCCIDENTE,2002-10-17,1,1,3548,1,1,1,0,460
OCCIDENTE,2002-10-18,31595,18669,3566,3626,29111,3619,109,860
OCCIDENTE,2002-10-21,13850,52557,3593,3656,29268,3650,108,860
OCCIDENTE,2002-10-22,1,1,3593,1,1,1,0,460
OCCIDENTE,2002-10-23,1,1,3593,1,1,1,0,460
OCCIDENTE,2002-10-24,1,1,3593,1,1,1,0,460
OCCIDENTE,2002-10-25,1,1,3593,1,1,1,0,460
