Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
ODINSA,2005-04-26,1,1,5787,1,1,1,0,460
ODINSA,2005-04-27,1,1,5787,1,1,1,0,460
ODINSA,2005-04-28,1,1,5787,1,1,1,0,460
ODINSA,2005-04-29,1,1,5787,1,1,1,0,460
ODINSA,2005-05-02,1,1,5787,1,1,1,0,460
ODINSA,2005-05-03,1,1,5787,1,1,1,0,460
ODINSA,2005-05-04,1,1,5787,1,1,1,0,460
ODINSA,2005-05-05,1,1,5787,1,1,1,0,460
ODINSA,2005-05-06,1,1,5787,1,1,1,0,460
ODINSA,2005-05-10,1,1,5787,1,1,1,0,460
ODINSA,2005-05-11,1,1,5787,1,1,1,0,460
ODINSA,2005-05-12,1,1,5787,1,1,1,0,460
ODINSA,2005-05-13,1,1,5787,1,1,1,0,460
ODINSA,2005-05-16,5,53520,5814,5895,40172,5882,134,603
ODINSA,2005-05-17,6,53027,5772,5850,39942,5836,-204,207
ODINSA,2005-05-18,1,1,5772,1,1,1,0,460
ODINSA,2005-05-19,1,1,5772,1,1,1,0,460
ODINSA,2005-05-20,1,1,5772,1,1,1,0,460
ODINSA,2005-05-23,1,1,5772,1,1,1,0,460
ODINSA,2005-05-24,1,1,5772,1,1,1,0,460
ODINSA,2005-05-25,1,1,5772,1,1,1,0,460
ODINSA,2005-05-26,1,1,5772,1,1,1,0,460
ODINSA,2005-05-27,1,1,5772,1,1,1,0,460
ODINSA,2005-05-31,1,1,5772,1,1,1,0,460
ODINSA,2005-06-01,1,1,5772,1,1,1,0,460
ODINSA,2005-06-02,1,1,5772,1,1,1,0,460
ODINSA,2005-06-03,1,1,5772,1,1,1,0,460
ODINSA,2005-06-07,1,1,5772,1,1,1,0,460
ODINSA,2005-06-08,1,1,5772,1,1,1,0,460
ODINSA,2005-06-09,13850,13012,5470,5539,38144,5538,-10,453
ODINSA,2005-06-10,1,1,5470,1,1,1,0,460
ODINSA,2005-06-13,1,1,5470,1,1,1,0,460
ODINSA,2005-06-14,1,1,5470,1,1,1,0,460
ODINSA,2005-06-15,9206,7300,5470,5539,38144,5538,0,460
ODINSA,2005-06-16,6661,4317,5470,5539,38125,5521,0,460
ODINSA,2005-06-17,1,1,5470,1,1,1,0,460
ODINSA,2005-06-20,1,1,5470,1,1,1,0,460
ODINSA,2005-06-21,5,50461,5452,5524,38067,5521,-046,325
ODINSA,2005-06-22,1,1,5452,1,1,1,0,460
ODINSA,2005-06-23,23141,24820,5643,5717,38958,5711,465,824
ODINSA,2005-06-24,1,1,5643,1,1,1,0,460
ODINSA,2005-06-27,1,1,5643,1,1,1,0,460
ODINSA,2005-06-28,1,1,5643,1,1,1,0,460
ODINSA,2005-06-29,15513,15788,5643,5717,38958,5711,0,460
ODINSA,2005-06-30,1,1,5643,1,1,1,0,460
ODINSA,2005-07-01,1,1,5643,1,1,1,0,460
ODINSA,2005-07-05,1,1,5643,1,1,1,0,460
ODINSA,2005-07-06,1,1,5643,1,1,1,0,460
ODINSA,2005-07-07,5,50461,5452,5524,38067,5521,-444,326
ODINSA,2005-07-08,1,1,5452,1,1,1,0,460
ODINSA,2005-07-11,1,1,5452,1,1,1,0,460
ODINSA,2005-07-12,1,1,5452,1,1,1,0,460
ODINSA,2005-07-13,1,1,5452,1,1,1,0,460
ODINSA,2005-07-14,1,1,5452,1,1,1,0,460
ODINSA,2005-07-15,1,1,5452,1,1,1,0,460
ODINSA,2005-07-18,1,1,5452,1,1,1,0,460
ODINSA,2005-07-19,1,1,5452,1,1,1,0,460
ODINSA,2005-07-21,1,1,5452,1,1,1,0,460
ODINSA,2005-07-22,39102,39766,5316,5383,37127,5381,-698,389
ODINSA,2005-07-25,5,50195,5424,5495,37891,5493,625,861
ODINSA,2005-07-26,1,1,5424,1,1,1,0,460
ODINSA,2005-07-27,1,1,5424,1,1,1,0,460
ODINSA,2005-07-28,5,48815,5316,5383,37127,5381,-588,359
ODINSA,2005-07-29,5,48815,5316,5383,37127,5381,0,460
ODINSA,2005-08-01,1,1,5316,1,1,1,0,460
ODINSA,2005-08-02,1,1,5316,1,1,1,0,460
ODINSA,2005-08-03,1,1,5316,1,1,1,0,460
ODINSA,2005-08-04,1,1,5316,1,1,1,0,460
ODINSA,2005-08-05,1,1,5316,1,1,1,0,460
ODINSA,2005-08-08,1,1,5316,1,1,1,0,460
ODINSA,2005-08-09,5322,2791,5452,5582,38152,5521,75,893
ODINSA,2005-08-10,1,1,5452,1,1,1,0,460
ODINSA,2005-08-11,9710,9409,5750,5826,39278,5711,1047,956
ODINSA,2005-08-12,37885,43131,142,148,40164,5813,526,861
ODINSA,2005-08-16,36681,43460,213,220,653,176,7,917
ODINSA,2005-08-17,25357,32076,247,258,1341,251,28,773
ODINSA,2005-08-18,2233,6485,361,374,2575,251,10,571
ODINSA,2005-08-19,25920,34842,349,374,3056,361,-083,87
ODINSA,2005-08-22,22997,31475,349,363,2975,361,0,460
ODINSA,2005-08-23,1,1,349,1,1,1,0,460
ODINSA,2005-08-24,1,1,349,1,1,1,0,460
ODINSA,2005-08-25,1,1,349,1,1,1,0,460
ODINSA,2005-08-26,1,1,349,1,1,1,0,460
ODINSA,2005-08-29,1,1,349,1,1,1,0,460
ODINSA,2005-08-30,1,1,349,1,1,1,0,460
ODINSA,2005-08-31,1,1,349,1,1,1,0,460
ODINSA,2005-09-01,1,1,349,1,1,1,0,460
ODINSA,2005-09-02,1,1,349,1,1,1,0,460
ODINSA,2005-09-05,1,1,349,1,1,1,0,460
ODINSA,2005-09-06,1,1,349,1,1,1,0,460
ODINSA,2005-09-07,27256,36038,335,349,2856,348,-017,206
ODINSA,2005-09-08,32819,42281,349,363,2975,361,017,689
ODINSA,2005-09-09,1,1,349,1,1,1,0,460
ODINSA,2005-09-12,1,1,349,1,1,1,0,460
ODINSA,2005-09-13,1,1,349,1,1,1,0,460
ODINSA,2005-09-14,1,1,349,1,1,1,0,460
ODINSA,2005-09-15,27553,36346,349,363,2975,361,0,460
ODINSA,2005-09-16,1,1,349,1,1,1,0,460
ODINSA,2005-09-19,30632,39916,349,363,2975,361,0,460
ODINSA,2005-09-20,1,1,349,1,1,1,0,460
ODINSA,2005-09-21,9206,15007,335,349,2856,348,-017,206
ODINSA,2005-09-22,1,1,335,1,1,1,0,460
ODINSA,2005-09-23,1,1,335,1,1,1,0,460
ODINSA,2005-09-26,1,1,335,1,1,1,0,460
ODINSA,2005-09-27,1,1,335,1,1,1,0,460
ODINSA,2005-09-28,1,1,335,1,1,1,0,460
ODINSA,2005-09-29,13850,20899,335,349,2856,348,0,460
ODINSA,2005-09-30,1,1,335,1,1,1,0,460
ODINSA,2005-10-03,1,1,335,1,1,1,0,460
