Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
PFAVAL,2011-04-26,1,1,1,1,1,1,0,460
PFAVAL,2011-04-27,1,1,1,1,1,1,0,460
PFAVAL,2011-04-28,1,1,1,1,1,1,0,460
PFAVAL,2011-04-29,1,1,1,1,1,1,0,460
PFAVAL,2011-05-02,1,1,1,1,1,1,0,460
PFAVAL,2011-05-03,1,1,1,1,1,1,0,460
PFAVAL,2011-05-04,1,1,1,1,1,1,0,460
PFAVAL,2011-05-05,1,1,1,1,1,1,0,460
PFAVAL,2011-05-06,1,1,1,1,1,1,0,460
PFAVAL,2011-05-09,1,1,1,1,1,1,0,460
PFAVAL,2011-05-10,1,1,453,1,1,1,0,604
PFAVAL,2011-05-11,1,1,453,1,1,1,0,460
PFAVAL,2011-05-12,14309,23405,469,489,4842,425,115,623
PFAVAL,2011-05-13,22585,32910,439,481,4885,450,-152,206
PFAVAL,2011-05-16,4406,11334,426,471,4558,438,-116,146
PFAVAL,2011-05-17,22678,32459,413,452,4128,415,-117,146
PFAVAL,2011-05-18,2786,9450,453,471,4684,428,277,793
PFAVAL,2011-05-19,25784,36207,453,466,4605,446,0,460
PFAVAL,2011-05-20,22718,32837,439,452,4580,442,-038,352
PFAVAL,2011-05-23,12807,21374,453,466,4572,442,039,854
PFAVAL,2011-05-24,31677,42784,435,466,4649,446,-077,86
PFAVAL,2011-05-25,33718,45075,435,466,4670,446,0,460
PFAVAL,2011-05-26,22333,32502,453,466,4654,442,078,552
PFAVAL,2011-05-27,34991,46300,453,466,4577,446,0,460
PFAVAL,2011-05-30,16150,25285,435,452,4578,446,-077,86
PFAVAL,2011-05-31,38723,50306,435,466,4622,442,0,460
PFAVAL,2011-06-01,16836,25919,439,452,4459,438,039,854
PFAVAL,2011-06-02,33724,44927,431,452,4464,438,-077,86
PFAVAL,2011-06-03,23028,33100,435,447,4460,438,039,854
PFAVAL,2011-06-07,15641,24578,426,447,4419,438,-078,86
PFAVAL,2011-06-08,16120,25004,426,438,4269,432,0,460
PFAVAL,2011-06-09,7264,14284,426,443,4245,432,0,460
PFAVAL,2011-06-10,6438,13251,422,434,4133,428,-039,352
PFAVAL,2011-06-13,8897,16080,426,438,4118,428,039,854
PFAVAL,2011-06-14,11768,19733,417,438,4127,425,-078,86
PFAVAL,2011-06-15,20026,29342,399,434,3992,410,-157,206
PFAVAL,2011-06-16,19934,29178,422,434,3949,415,2,732
PFAVAL,2011-06-17,33636,44818,453,466,4454,428,196,732
PFAVAL,2011-06-20,40063,51857,453,466,4656,442,0,460
PFAVAL,2011-06-21,2782,9465,439,471,4691,442,-038,352
PFAVAL,2011-06-22,29650,40639,453,466,4686,446,039,854
PFAVAL,2011-06-23,24257,34656,453,466,4655,442,0,460
PFAVAL,2011-06-24,39013,50686,458,471,4711,446,038,854
PFAVAL,2011-06-28,27152,37878,458,471,4852,465,0,460
PFAVAL,2011-06-29,23298,33701,464,476,4881,450,038,854
PFAVAL,2011-06-30,40863,52880,469,481,4915,465,038,854
PFAVAL,2011-07-01,35380,47147,473,489,5034,479,038,854
PFAVAL,2011-07-05,29185,40422,473,485,5020,475,0,460
PFAVAL,2011-07-06,39951,51933,458,485,4912,450,-114,146
PFAVAL,2012-05-04,16031,25262,439,471,4685,446,-038,352
PFAVAL,2012-05-07,29002,39655,435,452,4399,438,-039,352
PFAVAL,2012-05-08,2603,8905,422,443,4272,432,-116,146
PFAVAL,2012-05-09,39504,50787,431,443,4176,428,078,552
PFAVAL,2012-05-10,99,5823,417,438,4157,428,-117,146
PFAVAL,2012-05-11,6969,13798,413,434,4064,425,-039,352
PFAVAL,2012-05-14,8807,15708,404,425,3854,415,-079,86
PFAVAL,2012-05-15,29553,39840,404,425,3879,415,0,460
PFAVAL,2012-05-16,5439,11950,413,425,3878,410,08,552
PFAVAL,2012-05-17,866,6248,390,416,3728,395,-198,244
PFAVAL,2012-05-18,43301,388,390,409,3627,400,0,460
PFAVAL,2012-05-22,6949,13332,394,409,3680,400,04,854
PFAVAL,2012-05-23,6685,12952,390,405,3554,395,-04,352
PFAVAL,2012-05-24,19822,28412,375,405,3453,385,-121,146
PFAVAL,2012-05-25,15346,22936,355,390,3199,368,-163,206
PFAVAL,2012-05-28,2277,6946,328,369,2842,340,-124,146
PFAVAL,2012-05-29,23295,31694,324,373,2800,335,-042,352
PFAVAL,2012-05-30,32043,40795,302,341,2366,309,-211,244
PFAVAL,2012-05-31,36295,45618,333,346,2579,299,302,793
PFAVAL,2012-06-01,14777,21377,306,331,2430,309,-251,282
PFAVAL,2012-06-04,20238,27457,293,317,2230,299,-129,146
PFAVAL,2012-06-05,335,3878,302,321,2228,284,087,552
PFAVAL,2012-06-06,11636,17515,315,341,2541,299,129,623
PFAVAL,2012-06-07,13587,20229,320,341,2614,323,043,854
PFAVAL,2012-06-08,7790,12857,306,331,2370,309,-127,146
PFAVAL,2012-06-12,16650,23532,298,331,2454,290,-086,86
PFAVAL,2012-06-13,12205,17820,293,321,2223,299,-043,352
PFAVAL,2012-06-14,33116,42296,360,373,2653,299,522,892
PFAVAL,2012-06-15,10019,16793,348,420,3529,360,-083,86
PFAVAL,2012-06-19,14934,22278,333,381,3046,345,-042,352
PFAVAL,2012-06-20,26024,34427,310,346,2577,317,-209,244
PFAVAL,2012-06-21,21165,28674,302,321,2340,309,-085,86
PFAVAL,2012-06-22,6752,11781,315,331,2468,313,129,623
PFAVAL,2012-06-25,9408,14384,293,317,2171,299,-213,244
PFAVAL,2012-06-26,3596,7668,293,317,2248,299,0,460
PFAVAL,2012-06-27,4891,9130,298,312,2161,299,043,854
PFAVAL,2012-06-28,4847,9084,302,312,2163,294,043,854
PFAVAL,2012-06-29,37233,46135,289,331,2203,294,-129,146
PFAVAL,2012-07-03,43640,53083,302,312,2210,299,131,623
PFAVAL,2012-07-04,6009,10499,302,312,2174,299,0,460
PFAVAL,2012-07-05,15007,21569,320,331,2367,304,172,689
PFAVAL,2012-07-06,9528,14969,328,341,2537,317,085,552
PFAVAL,2012-07-09,6925,12109,320,337,2580,323,-084,86
PFAVAL,2012-07-10,17887,25181,320,341,2639,323,0,460
PFAVAL,2012-07-11,13085,19363,320,331,2477,309,0,460
PFAVAL,2012-07-12,18913,26137,310,326,2410,313,-085,86
PFAVAL,2012-07-13,4021,8519,315,326,2474,313,043,854
PFAVAL,2012-07-16,18208,25075,298,321,2250,304,-17,206
PFAVAL,2012-07-17,13912,20491,320,331,2511,313,216,732
PFAVAL,2012-07-18,13735,20413,324,337,2595,317,042,854
PFAVAL,2012-07-19,11416,17325,324,341,2615,317,0,460
PFAVAL,2012-07-23,39866,49279,310,331,2428,313,-127,146
PFAVAL,2012-07-24,6299,11203,315,331,2453,313,043,854
PFAVAL,2012-07-25,42250,51850,315,326,2472,317,0,460
PFAVAL,2012-07-26,12548,18696,320,331,2536,317,043,854
PFAVAL,2012-07-27,21517,29735,348,369,2797,317,169,689
PFAVAL,2012-07-30,6704,12184,355,369,2814,335,042,854
PFAVAL,2012-07-31,24610,33354,360,373,3076,345,041,854
PFAVAL,2012-08-01,9675,15513,324,369,2801,335,-207,244
PFAVAL,2012-08-02,3632,8086,320,331,2523,317,-042,352
PFAVAL,2012-08-03,9642,14958,302,331,2409,309,-169,206
PFAVAL,2012-08-06,20980,28225,289,317,2148,294,-129,146
PFAVAL,2012-08-08,10313,15306,285,302,1994,290,-044,352
PFAVAL,2012-08-09,7741,12443,293,307,2049,294,088,552
PFAVAL,2012-08-10,6493,10921,293,307,2031,294,0,460
PFAVAL,2012-08-13,38927,47703,289,302,2027,290,-043,352
PFAVAL,2012-08-14,19004,25672,293,302,1948,284,044,854
PFAVAL,2012-08-15,46361,2041,293,302,1978,290,0,460
PFAVAL,2012-08-16,16143,22666,298,312,2162,290,043,854
PFAVAL,2012-08-17,9663,14769,302,312,2247,304,043,854
PFAVAL,2012-08-21,10408,15658,293,312,2206,299,-086,86
PFAVAL,2012-08-22,23672,31343,306,317,2209,294,13,623
PFAVAL,2012-08-23,16331,22905,298,317,2225,299,-086,86
PFAVAL,2012-08-24,30757,38886,274,312,1976,279,-216,244
PFAVAL,2012-08-27,10626,15522,289,297,1900,279,133,623
PFAVAL,2012-08-28,16082,22292,279,297,1919,284,-087,86
PFAVAL,2012-08-29,19208,25730,279,293,1807,274,0,460
PFAVAL,2012-08-30,4904,8740,285,293,1830,279,044,854
PFAVAL,2012-08-31,23038,30459,293,302,2011,290,088,552
PFAVAL,2012-09-03,3944,7643,285,293,1867,279,-087,86
PFAVAL,2012-09-04,7274,11607,279,297,1828,279,-044,352
PFAVAL,2012-09-05,2937,6284,279,288,1777,274,0,460
PFAVAL,2012-09-06,33657,42221,298,312,2081,284,176,689
PFAVAL,2012-09-07,21691,29029,298,307,2131,294,0,460
PFAVAL,2012-09-10,5057,9236,293,302,2068,294,-043,352
PFAVAL,2012-09-11,41065,50075,298,307,2072,290,043,854
PFAVAL,2012-09-12,12039,17518,302,312,2134,290,043,854
PFAVAL,2012-09-13,30274,38803,306,326,2341,299,043,854
PFAVAL,2012-09-14,30966,39885,320,337,2600,323,129,623
PFAVAL,2012-09-17,12170,18122,310,326,2469,317,-085,86
PFAVAL,2012-09-18,10322,15664,298,321,2299,304,-128,146
PFAVAL,2012-09-19,18307,25250,310,321,2312,299,13,623
PFAVAL,2012-09-20,32056,41006,328,341,2535,317,171,689
PFAVAL,2012-09-21,38327,48057,355,369,2787,335,126,623
PFAVAL,2012-09-24,37781,47651,355,377,3065,340,0,460
PFAVAL,2012-09-25,28628,37610,333,377,3001,345,-083,86
PFAVAL,2012-09-26,16039,23145,320,346,2654,323,-126,146
PFAVAL,2012-09-27,12257,18676,348,369,2794,329,169,689
PFAVAL,2012-09-28,45823,2731,328,386,3079,340,-083,86
PFAVAL,2012-10-01,13749,21031,360,377,3127,368,168,689
PFAVAL,2013-03-04,11680,19860,431,447,4439,438,0,460
PFAVAL,2013-03-05,23658,33816,439,452,4512,442,078,552
PFAVAL,2013-03-06,17293,26548,439,452,4534,442,0,460
PFAVAL,2013-03-07,2205,8541,431,447,4397,438,-077,86
PFAVAL,2013-03-08,4661,11491,435,447,4425,438,039,854
PFAVAL,2013-03-11,678,6664,426,443,4301,438,-078,86
PFAVAL,2013-03-12,32279,43282,439,452,4398,438,117,623
PFAVAL,2013-03-13,9756,17440,439,452,4462,438,0,460
PFAVAL,2013-03-14,12599,21000,435,452,4461,438,-039,352
PFAVAL,2013-03-15,46332,4842,439,452,4542,442,039,854
PFAVAL,2013-03-18,20465,30153,435,447,4378,438,-039,352
PFAVAL,2013-03-19,27187,37506,431,443,4333,438,-039,352
PFAVAL,2013-03-20,31498,42344,422,447,4370,432,-078,86
PFAVAL,2013-03-21,14275,22965,426,443,4270,432,039,854
PFAVAL,2013-03-22,6903,13766,413,434,4117,425,-117,146
PFAVAL,2013-03-26,45039,3127,431,443,4227,425,158,689
PFAVAL,2013-03-27,7130,14232,435,447,4375,428,039,854
PFAVAL,2013-04-01,25944,36221,426,447,4402,432,-078,86
PFAVAL,2013-04-02,28278,38779,422,443,4325,432,-039,352
PFAVAL,2013-04-03,2775,8838,408,434,3994,420,-118,146
PFAVAL,2013-04-04,10354,17798,417,429,4011,420,079,552
PFAVAL,2013-04-05,11020,18579,408,429,3991,420,-079,86
PFAVAL,2013-04-08,9339,16388,404,425,3894,415,-04,352
PFAVAL,2013-04-09,16479,24922,413,425,3824,405,08,552
PFAVAL,2013-04-10,1804,7545,404,425,3880,415,-079,86
PFAVAL,2013-04-11,11939,19675,404,420,3864,410,0,460
PFAVAL,2013-04-12,827,6283,404,420,3787,410,0,460
PFAVAL,2013-04-15,29722,39800,390,420,3697,400,-12,146
PFAVAL,2013-04-16,16265,24551,394,416,3664,405,04,854
PFAVAL,2013-04-17,32009,42132,386,416,3611,395,-08,86
PFAVAL,2013-04-18,14652,22625,386,405,3533,389,0,460
PFAVAL,2013-04-19,19319,28050,394,409,3631,400,081,552
PFAVAL,2013-04-22,25956,35631,399,409,3714,400,04,854
PFAVAL,2013-04-23,20271,29331,399,409,3713,405,0,460
PFAVAL,2013-04-24,21832,31177,404,416,3769,405,04,854
PFAVAL,2013-04-25,25156,34751,399,409,3676,400,-04,352
PFAVAL,2013-04-26,39675,50847,408,438,4009,410,08,552
PFAVAL,2013-04-29,26871,37090,422,438,4220,420,119,623
PFAVAL,2013-04-30,46256,4590,426,443,4300,428,039,854
PFAVAL,2013-05-02,37680,49064,431,447,4457,428,039,854
PFAVAL,2013-05-03,26250,36672,435,452,4554,446,039,854
PFAVAL,2013-05-06,19152,28575,426,443,4302,432,-078,86
PFAVAL,2013-05-07,19536,29043,431,447,4348,432,039,854
PFAVAL,2013-05-08,26858,37266,426,447,4456,438,-039,352
PFAVAL,2013-05-09,18379,27738,426,447,4421,438,0,460
PFAVAL,2013-05-10,46057,4240,417,438,4186,428,-078,86
PFAVAL,2013-05-14,27288,37360,417,434,4044,425,0,460
PFAVAL,2013-05-15,36714,47898,426,443,4275,428,079,552
PFAVAL,2013-05-16,9695,17244,431,443,4323,428,039,854
PFAVAL,2013-05-17,6230,13262,435,447,4430,432,039,854
PFAVAL,2013-05-20,8127,15702,453,471,4692,442,078,552
PFAVAL,2013-05-21,16225,25881,495,506,5089,465,346,839
PFAVAL,2013-05-22,17856,28267,469,531,5352,479,-223,282
PFAVAL,2013-05-23,41833,318,486,506,5137,465,152,689
PFAVAL,2013-05-24,18477,29239,523,539,5575,491,3,823
PFAVAL,2013-05-27,10108,19944,572,586,6066,524,327,839
PFAVAL,2013-05-28,24294,36798,568,606,6582,573,-035,352
PFAVAL,2013-05-29,4175,13265,579,593,6533,573,106,623
PFAVAL,2013-05-30,22950,35284,568,598,6501,564,-105,146
PFAVAL,2013-05-31,9568,19340,555,582,6249,541,-106,146
PFAVAL,2013-06-04,38608,51694,527,568,5840,533,-143,206
PFAVAL,2013-06-05,29021,41357,523,548,5884,533,-036,352
PFAVAL,2013-06-06,9549,18922,531,548,5841,533,073,552
PFAVAL,2013-06-07,43764,3667,535,573,6015,537,036,854
PFAVAL,2013-06-11,34656,47654,555,568,6062,541,072,552
PFAVAL,2013-06-12,676,8850,535,582,6290,545,-071,86
PFAVAL,2013-06-13,11133,20914,527,544,5869,537,-072,86
PFAVAL,2013-06-14,9459,18846,531,548,5864,537,036,854
PFAVAL,2013-06-17,34844,47536,523,544,5764,529,-072,86
PFAVAL,2013-06-18,28939,41033,523,535,5678,518,0,460
PFAVAL,2013-06-19,7417,16102,527,539,5682,518,036,854
PFAVAL,2013-06-20,17103,27621,511,531,5589,518,-145,206
PFAVAL,2013-06-21,420,8132,535,548,5811,518,221,772
PFAVAL,2013-06-24,4399,12637,516,535,5636,513,-18,244
PFAVAL,2013-06-25,38658,51276,478,531,5456,487,-293,325
PFAVAL,2013-06-26,16667,26539,486,506,5175,475,075,552
PFAVAL,2013-06-27,4078,11787,490,510,5232,491,037,854
PFAVAL,2013-06-28,32121,44273,523,535,5495,491,261,793
PFAVAL,2013-07-02,8343,17079,519,531,5578,507,-036,352
PFAVAL,2013-07-03,17153,27415,490,527,5349,498,-219,282
PFAVAL,2013-07-04,29586,41129,490,502,5168,491,0,460
PFAVAL,2013-07-05,7085,14870,473,502,5103,483,-149,206
PFAVAL,2013-07-08,8037,16081,478,494,5125,483,038,854
PFAVAL,2013-07-09,38846,50961,473,494,5121,479,-038,352
PFAVAL,2013-07-10,38470,50520,469,489,5074,479,-038,352
PFAVAL,2013-07-11,3113,10176,469,489,5006,475,0,460
PFAVAL,2013-07-12,26022,36939,482,498,5057,470,114,623
PFAVAL,2013-07-15,16148,26204,506,517,5308,483,188,732
PFAVAL,2013-07-16,12438,21876,500,510,5336,495,-037,352
PFAVAL,2013-07-17,40899,53977,519,535,5601,498,148,689
PFAVAL,2013-07-18,11253,20694,516,527,5564,507,-036,352
PFAVAL,2013-07-19,6394,14800,516,531,5613,513,0,460
PFAVAL,2013-07-22,26378,38097,500,539,5599,507,-11,146
PFAVAL,2013-07-23,28243,40273,527,539,5662,507,222,772
PFAVAL,2013-07-24,46227,6759,559,586,6332,537,181,732
PFAVAL,2013-07-25,41611,1731,583,598,6550,573,214,772
PFAVAL,2013-07-26,23417,35516,555,593,6317,537,-244,300
PFAVAL,2013-07-29,18104,29244,531,568,5923,533,-107,146
