Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
PFBCOLOM,2002-01-03,1,1,5834,1,1,1,0,460
PFBCOLOM,2002-01-04,15830,20858,5834,1,1033,1,0,460
PFBCOLOM,2002-01-08,1,1,5834,1,1,1,0,460
PFBCOLOM,2002-01-09,1,1,5834,1,1,1,0,460
PFBCOLOM,2002-01-10,1,1,5834,1,1,1,0,460
PFBCOLOM,2002-01-11,1,1,5834,1,1,1,0,460
PFBCOLOM,2002-01-14,1,1,5834,1,1,1,0,460
PFBCOLOM,2002-01-15,1,1,5834,1,1,1,0,460
PFBCOLOM,2002-01-16,8210,10288,167,176,451,170,354,793
PFBCOLOM,2002-01-17,1,1,167,1,1,1,0,460
PFBCOLOM,2002-01-18,36666,43468,197,205,652,199,263,746
PFBCOLOM,2002-01-21,1,1,197,1,1,1,0,460
PFBCOLOM,2002-01-22,11840,17367,299,308,2189,304,989,560
PFBCOLOM,2002-01-23,1,1,299,1,1,1,0,460
PFBCOLOM,2002-01-24,32821,41425,299,308,2199,305,0,460
PFBCOLOM,2002-01-25,22133,30520,336,350,2852,347,372,833
PFBCOLOM,2002-01-28,1,1,336,1,1,1,0,460
PFBCOLOM,2002-01-29,1,1,336,1,1,1,0,460
PFBCOLOM,2002-01-30,1,1,336,1,1,1,0,460
PFBCOLOM,2002-01-31,18443,26180,348,362,2966,360,008,537
PFBCOLOM,2002-02-01,1,1,348,1,1,1,0,460
PFBCOLOM,2002-02-04,1,1,348,1,1,1,0,460
PFBCOLOM,2002-02-05,1,1,348,1,1,1,0,460
PFBCOLOM,2002-02-06,5323,9600,293,302,2104,299,-417,357
PFBCOLOM,2002-02-07,10314,14357,246,254,1331,250,-435,357
PFBCOLOM,2002-02-08,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-11,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-12,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-13,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-14,24767,32951,246,1,2540,1,0,460
PFBCOLOM,2002-02-15,27673,34581,246,254,1331,250,0,460
PFBCOLOM,2002-02-18,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-19,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-20,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-21,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-22,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-25,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-26,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-27,1,1,246,1,1,1,0,460
PFBCOLOM,2002-02-28,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-01,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-04,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-05,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-06,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-07,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-08,25058,31747,246,1,1331,1,0,460
PFBCOLOM,2002-03-11,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-12,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-13,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-14,1,1,246,1,1,1,0,460
PFBCOLOM,2002-03-15,38774,46472,246,1,1134,1,0,460
PFBCOLOM,2002-03-18,28370,34647,212,219,790,208,-273,282
PFBCOLOM,2002-03-19,18443,23420,208,215,783,212,-047,352
PFBCOLOM,2002-03-20,1,1,208,1,1,1,0,460
PFBCOLOM,2002-03-21,1,1,208,1,1,1,0,460
PFBCOLOM,2002-03-22,1,1,208,1,1,1,0,460
PFBCOLOM,2002-03-26,1,1,208,1,1,1,0,460
PFBCOLOM,2002-03-27,1,1,208,1,1,1,0,460
PFBCOLOM,2002-04-01,1,1,208,1,1,1,0,460
PFBCOLOM,2002-04-02,1,1,208,1,1,1,0,460
PFBCOLOM,2002-04-03,1,1,208,1,1,1,0,460
PFBCOLOM,2002-04-04,38413,45456,204,211,743,208,-047,352
PFBCOLOM,2002-04-05,1,1,204,1,1,1,0,460
PFBCOLOM,2002-04-08,24450,31027,256,265,1195,232,472,860
PFBCOLOM,2002-04-09,30707,38340,272,282,1611,264,171,665
PFBCOLOM,2002-04-10,13847,18557,272,1,1085,1,0,460
PFBCOLOM,2002-04-11,1,1,272,1,1,1,0,460
PFBCOLOM,2002-04-12,46952,2469,274,283,1752,279,009,537
PFBCOLOM,2002-04-15,4,2908,274,1,1752,1,0,460
PFBCOLOM,2002-04-16,1,1,274,1,1,1,0,460
PFBCOLOM,2002-04-17,1,1,274,1,1,1,0,460
PFBCOLOM,2002-04-18,1,1,274,1,1,1,0,460
PFBCOLOM,2002-04-19,1,1,274,1,1,1,0,460
PFBCOLOM,2002-04-22,1,1,274,1,1,1,0,460
PFBCOLOM,2002-04-23,11997,17042,274,283,1755,279,0,460
PFBCOLOM,2002-04-24,1,1,274,1,1,1,0,460
PFBCOLOM,2002-04-25,4,2908,274,1,1752,1,0,460
PFBCOLOM,2002-04-26,14266,20008,274,288,1796,279,0,460
PFBCOLOM,2002-04-29,44193,53187,274,283,1752,279,0,460
PFBCOLOM,2002-04-30,44228,53436,285,293,1931,290,088,552
PFBCOLOM,2002-05-02,32820,41131,285,293,1931,290,0,460
PFBCOLOM,2002-05-03,1,1,285,1,1,1,0,460
PFBCOLOM,2002-05-06,8210,12613,274,283,1779,279,-088,86
PFBCOLOM,2002-05-07,1,1,274,1,1,1,0,460
PFBCOLOM,2002-05-08,6612,10657,264,283,1704,269,-088,86
PFBCOLOM,2002-05-09,1,1,264,1,1,1,0,460
PFBCOLOM,2002-05-10,1,1,264,1,1,1,0,460
PFBCOLOM,2002-05-14,1,1,264,1,1,1,0,460
PFBCOLOM,2002-05-15,1,1,264,1,1,1,0,460
PFBCOLOM,2002-05-16,1,1,264,1,1,1,0,460
PFBCOLOM,2002-05-17,1,1,264,1,1,1,0,460
PFBCOLOM,2002-05-20,1,1,264,1,1,1,0,460
PFBCOLOM,2002-05-21,1,1,264,1,1,1,0,460
PFBCOLOM,2002-05-22,1,1,264,1,1,1,0,460
PFBCOLOM,2002-05-23,32820,41876,320,331,2613,329,536,892
PFBCOLOM,2002-05-24,25443,35011,399,409,3633,360,593,916
PFBCOLOM,2002-05-27,1569,7094,399,409,3740,410,0,460
PFBCOLOM,2002-05-28,32821,43276,399,409,3740,410,0,460
PFBCOLOM,2002-05-29,22133,31465,399,409,3740,410,0,460
PFBCOLOM,2002-05-30,45368,3065,402,414,3802,413,032,814
PFBCOLOM,2002-05-31,1,1,402,1,1,1,0,460
PFBCOLOM,2002-06-05,13851,23314,500,510,5119,465,766,966
PFBCOLOM,2002-06-06,1,1,500,1,1,1,0,460
PFBCOLOM,2002-06-07,41458,2129,601,617,6958,613,793,566
PFBCOLOM,2002-06-11,1,1,601,1,1,1,0,460
PFBCOLOM,2002-06-12,6,8862,595,611,6865,607,-048,403
PFBCOLOM,2002-06-13,1,1,595,1,1,1,0,460
PFBCOLOM,2002-06-14,1,1,595,1,1,1,0,460
PFBCOLOM,2002-06-17,1,1,595,1,1,1,0,460
PFBCOLOM,2002-06-18,15470,27217,595,1,6865,1,0,460
PFBCOLOM,2002-06-19,1,1,595,1,1,1,0,460
PFBCOLOM,2002-06-20,41458,3605,691,714,8167,706,69,553
PFBCOLOM,2002-06-21,37931,404,749,772,8942,766,329,865
PFBCOLOM,2002-06-24,1,1,749,1,1,1,0,460
PFBCOLOM,2002-06-25,1,1,749,1,1,1,0,460
PFBCOLOM,2002-06-26,1,1,749,1,1,1,0,460
PFBCOLOM,2002-06-27,4764,14646,612,630,7105,624,-818,128
PFBCOLOM,2002-06-28,1,1,612,1,1,1,0,460
PFBCOLOM,2002-07-02,1,1,612,1,1,1,0,460
PFBCOLOM,2002-07-03,6,11074,725,749,8692,740,81,583
PFBCOLOM,2002-07-04,1,1,725,1,1,1,0,460
PFBCOLOM,2002-07-05,1,1,725,1,1,1,0,460
PFBCOLOM,2002-07-08,1,1,725,1,1,1,0,460
PFBCOLOM,2002-07-09,21399,34863,648,667,7532,660,-56,440
PFBCOLOM,2002-07-10,1,1,648,1,1,1,0,460
PFBCOLOM,2002-07-11,1,1,648,1,1,1,0,460
PFBCOLOM,2002-07-12,29609,43892,648,667,7532,660,0,460
PFBCOLOM,2002-07-15,31231,45883,665,686,7802,678,133,689
PFBCOLOM,2002-07-16,1,1,665,1,1,1,0,460
PFBCOLOM,2002-07-17,1,1,665,1,1,1,0,460
PFBCOLOM,2002-07-18,1,1,665,1,1,1,0,460
PFBCOLOM,2002-07-19,14744,27195,665,1,7532,1,0,460
PFBCOLOM,2002-07-22,1,1,665,1,1,1,0,460
PFBCOLOM,2002-07-23,1,1,665,1,1,1,0,460
PFBCOLOM,2002-07-24,7102,18376,665,1,7859,1,0,460
PFBCOLOM,2002-07-25,1,1,665,1,1,1,0,460
PFBCOLOM,2002-07-26,11381,20986,535,548,5691,527,-855,126
