Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
PFCORFICOL,2006-01-03,39470,52113,501,511,5411,508,0,460
PFCORFICOL,2006-01-04,28090,40196,520,540,5736,519,148,691
PFCORFICOL,2006-01-05,37410,50174,520,532,5698,530,0,460
PFCORFICOL,2006-01-06,22093,33802,532,545,5920,530,117,636
PFCORFICOL,2006-01-10,36681,49617,556,569,5843,530,101,614
PFCORFICOL,2006-01-11,42196,2350,581,596,6534,574,229,784
PFCORFICOL,2006-01-12,33819,47835,605,621,6987,608,196,751
PFCORFICOL,2006-01-13,9412,21747,728,752,8270,635,89,604
PFCORFICOL,2006-01-16,24905,40495,790,814,9148,763,314,861
PFCORFICOL,2006-01-17,1,1,790,1,1,1,0,460
PFCORFICOL,2006-01-18,1,1,790,1,1,1,0,460
PFCORFICOL,2006-01-19,6121,21376,980,1081,11432,1008,854,615
PFCORFICOL,2006-01-20,5893,21095,1026,1058,11416,1008,225,824
PFCORFICOL,2006-01-23,14587,31937,1050,1081,11694,1053,165,773
PFCORFICOL,2006-01-24,35848,1561,1100,1133,11699,1071,27,861
PFCORFICOL,2006-01-25,1,1,1100,1,1,1,0,460
PFCORFICOL,2006-01-26,30202,49971,1145,1173,12217,1095,263,861
PFCORFICOL,2006-01-27,31320,51241,1103,1158,12225,1131,-236,345
PFCORFICOL,2006-01-30,10620,27733,1075,1141,11997,1105,-116,220
PFCORFICOL,2006-01-31,22152,40948,1059,1133,11949,1087,-106,207
PFCORFICOL,2006-02-01,42349,8976,1060,1094,11834,1088,011,689
PFCORFICOL,2006-02-02,35261,996,1063,1109,11776,1075,021,823
PFCORFICOL,2006-02-03,15064,32583,1058,1120,11814,1086,-043,429
PFCORFICOL,2006-02-06,15761,33180,956,1081,11677,985,-538,88
PFCORFICOL,2006-02-07,38145,2326,845,1039,10380,866,-443,421
PFCORFICOL,2006-02-08,21936,38314,945,978,10208,866,404,907
PFCORFICOL,2006-02-09,42804,7911,945,978,10770,975,0,460
PFCORFICOL,2006-02-10,46924,13277,1026,1058,11131,978,4,917
PFCORFICOL,2006-02-13,2246,16963,1046,1090,11592,1061,143,739
PFCORFICOL,2006-02-14,10741,27418,1066,1115,11771,1078,13,725
PFCORFICOL,2006-02-15,23501,42373,1075,1108,11944,1105,064,587
PFCORFICOL,2006-02-16,30896,49260,1050,1081,11144,1005,-17,290
PFCORFICOL,2006-02-17,18949,35834,1009,1039,10987,997,-27,359
PFCORFICOL,2006-02-21,7800,23431,1063,1095,11458,1037,378,907
PFCORFICOL,2006-02-22,39938,6213,1066,1098,11816,1042,011,689
PFCORFICOL,2006-02-23,38048,4386,1087,1120,11959,1095,15,751
PFCORFICOL,2006-02-24,44031,11457,1115,1158,12177,1129,105,691
PFCORFICOL,2006-02-27,43352,10770,1136,1165,12272,1129,115,710
PFCORFICOL,2006-02-28,24644,44117,1140,1169,12307,1129,031,892
PFCORFICOL,2006-03-01,13715,32170,1140,1173,12437,1166,0,460
PFCORFICOL,2006-03-02,4816,20852,1109,1141,11971,1086,-185,305
PFCORFICOL,2006-03-03,32820,52712,1084,1117,12012,1113,-084,159
PFCORFICOL,2006-03-06,12714,29278,1083,1116,11486,1037,-011,206
PFCORFICOL,2006-03-07,369,15624,1100,1133,12061,1111,042,940
PFCORFICOL,2006-03-08,12062,27444,891,978,10622,921,-10,186
PFCORFICOL,2006-03-09,8405,22542,891,936,10028,839,0,460
