Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
PROMIGAS,2004-06-28,18442,14888,5117,5203,36123,5179,121,955
PROMIGAS,2004-06-29,22131,19543,5117,5189,36178,5192,0,460
PROMIGAS,2004-06-30,32819,31777,5142,5203,36273,5207,133,553
PROMIGAS,2004-07-01,1,1,5142,1,1,1,0,460
PROMIGAS,2004-07-02,40582,39611,5142,5153,35893,5153,0,460
PROMIGAS,2004-07-06,1,1,5142,1,1,1,0,460
PROMIGAS,2004-07-07,1,1,5142,1,1,1,0,460
PROMIGAS,2004-07-08,1,1,5142,1,1,1,0,460
PROMIGAS,2004-07-09,1,1,5142,1,1,1,0,460
PROMIGAS,2004-07-12,1,1,5142,1,1,1,0,460
PROMIGAS,2004-07-13,1,1,5142,1,1,1,0,460
PROMIGAS,2004-07-14,1,1,5142,1,1,1,0,460
PROMIGAS,2004-07-15,1,1,5142,1,1,1,0,460
PROMIGAS,2004-07-16,35698,34343,5095,5153,35907,5156,-25,185
PROMIGAS,2004-07-19,1,1,5095,1,1,1,0,460
PROMIGAS,2004-07-21,1,1,5095,1,1,1,0,460
PROMIGAS,2004-07-22,2443,49937,5103,5161,35983,5164,054,823
PROMIGAS,2004-07-23,1,1,5103,1,1,1,0,460
PROMIGAS,2004-07-26,22696,20003,5103,5175,36100,5179,0,460
PROMIGAS,2004-07-27,7120,1548,5103,5181,36115,5182,0,460
PROMIGAS,2004-07-28,6605,831,5103,5181,36027,5164,0,460
PROMIGAS,2004-07-29,39963,39240,5103,5175,36100,5179,0,460
PROMIGAS,2004-07-30,24489,22134,5117,5203,36116,5179,067,860
PROMIGAS,2004-08-02,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-03,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-04,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-05,34817,33641,5117,5175,36100,5179,0,460
PROMIGAS,2004-08-06,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-09,8209,2812,5117,5175,36100,5179,0,460
PROMIGAS,2004-08-10,39773,39008,5117,5175,36100,5179,0,460
PROMIGAS,2004-08-11,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-12,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-13,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-17,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-18,32772,31419,5117,5175,36100,5179,0,460
PROMIGAS,2004-08-19,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-20,6014,219,5117,5175,36100,5179,0,460
PROMIGAS,2004-08-23,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-24,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-25,27737,25363,5117,5153,35907,5156,0,460
PROMIGAS,2004-08-26,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-27,1,1,5117,1,1,1,0,460
PROMIGAS,2004-08-30,27027,24697,5117,5161,35942,5138,0,460
PROMIGAS,2004-08-31,1,1,5117,1,1,1,0,460
PROMIGAS,2004-09-01,36185,34931,5097,5158,35923,5156,-107,429
PROMIGAS,2004-09-02,12876,7909,5097,5136,35786,5138,0,460
PROMIGAS,2004-09-03,1,1,5097,1,1,1,0,460
PROMIGAS,2004-09-06,1,1,5097,1,1,1,0,460
PROMIGAS,2004-09-07,18127,14427,5103,5175,36028,5164,04,772
PROMIGAS,2004-09-08,1,1,5103,1,1,1,0,460
PROMIGAS,2004-09-09,1,1,5103,1,1,1,0,460
PROMIGAS,2004-09-10,1,1,5103,1,1,1,0,460
PROMIGAS,2004-09-13,1,1,5103,1,1,1,0,460
PROMIGAS,2004-09-14,12545,7919,5117,5175,36100,5179,067,860
PROMIGAS,2004-09-15,1,1,5117,1,1,1,0,460
PROMIGAS,2004-09-16,44685,45236,5195,5258,36643,5253,4,773
