Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
SDPFCORF,2011-05-13,28171,3949,2107,2141,20854,2143,-923,759
SDPFCORF,2011-05-16,17601,46912,2277,2319,21954,2307,407,588
SDPFCORF,2011-05-17,13825,42348,2244,2284,21577,2253,-13,326
SDPFCORF,2011-05-18,25984,1254,2085,2118,20585,2116,-356,99
SDPFCORF,2011-05-19,1,1,2085,1,1,1,0,460
SDPFCORF,2011-05-20,17770,45971,2085,1,20563,1,0,460
SDPFCORF,2011-05-23,1,1,2085,1,1,1,0,460
SDPFCORF,2011-05-24,29678,5629,2085,1,20854,1,0,460
SDPFCORF,2011-05-25,34011,10668,2085,1,20854,1,0,460
SDPFCORF,2011-05-26,8207,35279,2085,1,20854,1,0,460
SDPFCORF,2011-05-27,6825,33679,2085,1,20854,1,0,460
SDPFCORF,2011-05-30,1,1,2085,1,1,1,0,460
SDPFCORF,2011-05-31,24284,325,2260,2301,21818,2293,438,598
SDPFCORF,2011-06-01,16523,45179,2260,1,21479,1,0,460
SDPFCORF,2011-06-02,1593,28003,2260,1,21479,1,0,460
SDPFCORF,2011-06-03,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-07,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-08,5017,32205,2260,1,21678,1,0,460
SDPFCORF,2011-06-09,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-10,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-13,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-14,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-15,41455,19111,2260,1,21023,1,0,460
SDPFCORF,2011-06-16,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-17,20943,50163,2260,1,21294,1,0,460
SDPFCORF,2011-06-20,33209,10543,2260,1,21831,1,0,460
SDPFCORF,2011-06-21,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-22,11743,40528,2260,1,22194,1,0,460
SDPFCORF,2011-06-23,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-24,25355,1594,2260,1,21854,1,0,460
SDPFCORF,2011-06-28,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-29,1,1,2260,1,1,1,0,460
SDPFCORF,2011-06-30,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-01,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-05,42852,20739,2260,1,21051,1,0,460
SDPFCORF,2011-07-06,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-07,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-08,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-11,30629,7475,2260,1,21831,1,0,460
SDPFCORF,2011-07-12,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-13,8207,35982,2260,1,21831,1,0,460
SDPFCORF,2011-07-14,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-15,37744,14485,2260,1,20660,1,0,460
SDPFCORF,2011-07-18,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-19,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-21,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-22,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-25,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-26,40582,17746,2260,1,20677,1,0,460
SDPFCORF,2011-07-27,22131,51009,2260,1,20677,1,0,460
SDPFCORF,2011-07-28,1,1,2260,1,1,1,0,460
SDPFCORF,2011-07-29,1,1,2260,1,1,1,0,460
SDPFCORF,2011-08-01,1,1,2260,1,1,1,0,460
SDPFCORF,2011-08-02,22829,52294,2260,1,21479,1,0,460
SDPFCORF,2011-08-03,1,1,2260,1,1,1,0,460
SDPFCORF,2011-08-04,1,1,2260,1,1,1,0,460
SDPFCORF,2011-08-05,22829,53595,2260,1,22644,1,0,460
SDPFCORF,2011-08-08,37410,15061,2260,1,21831,1,0,460
SDPFCORF,2011-08-09,1,1,2260,1,1,1,0,460
SDPFCORF,2011-08-10,1,1,2260,1,1,1,0,460
SDPFCORF,2011-08-11,40498,18650,2262,2304,21854,2295,007,689
SDPFCORF,2011-08-12,1,1,2262,1,1,1,0,460
SDPFCORF,2011-08-16,1,1,2262,1,1,1,0,460
SDPFCORF,2011-08-17,1,1,2262,1,1,1,0,460
SDPFCORF,2011-08-18,22129,52293,2262,1,22194,1,0,460
SDPFCORF,2011-08-19,1,1,2262,1,1,1,0,460
SDPFCORF,2011-08-22,1,1,2262,1,1,1,0,460
SDPFCORF,2011-08-23,1,1,2262,1,1,1,0,460
SDPFCORF,2011-08-24,1,1,2262,1,1,1,0,460
SDPFCORF,2011-08-25,10346,39471,2262,1,22645,1,0,460
SDPFCORF,2011-08-26,39962,19025,2262,1,22659,1,0,460
SDPFCORF,2011-08-29,1,1,2262,1,1,1,0,460
SDPFCORF,2011-08-30,1,1,2262,1,1,1,0,460
SDPFCORF,2011-08-31,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-01,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-02,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-05,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-06,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-07,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-08,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-09,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-12,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-13,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-14,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-15,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-16,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-19,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-20,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-21,1,1,2262,1,1,1,0,460
SDPFCORF,2011-09-22,1,1,2262,1,1,1,0,460
