Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
SOCBOLIVAR,2003-08-29,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-01,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-02,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-03,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-04,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-05,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-08,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-09,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-10,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-11,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-12,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-15,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-16,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-17,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-18,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-19,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-22,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-23,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-24,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-25,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-26,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-29,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-09-30,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-01,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-02,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-03,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-06,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-07,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-08,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-09,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-10,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-14,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-15,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-16,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-17,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-20,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-21,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-22,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-23,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-24,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-27,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-28,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-29,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-30,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-10-31,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-04,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-05,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-06,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-07,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-10,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-11,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-12,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-13,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-14,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-18,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-19,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-20,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-21,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-24,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-25,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-26,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-27,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-11-28,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-01,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-02,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-03,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-04,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-05,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-09,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-10,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-11,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-12,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-15,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-16,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-17,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-18,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-19,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-22,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-23,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-24,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-26,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-29,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2003-12-30,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2004-01-02,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2004-01-05,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2004-01-06,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2004-01-07,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2004-01-08,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2004-01-09,1,1,3288,1,1,1,0,460
SOCBOLIVAR,2004-01-13,1,1,3288,1,1,1,0,460
