Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
TABLEMAC,2002-01-03,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-04,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-08,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-09,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-10,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-11,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-14,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-15,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-16,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-17,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-18,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-21,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-22,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-23,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-24,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-25,35127,20192,3152,3203,27084,3189,0,460
TABLEMAC,2002-01-28,1342,32907,3152,1,21353,1,0,460
TABLEMAC,2002-01-29,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-30,1,1,3152,1,1,1,0,460
TABLEMAC,2002-01-31,1,1,3152,1,1,1,0,460
TABLEMAC,2002-02-01,1,1,3152,1,1,1,0,460
TABLEMAC,2002-02-04,1,1,3152,1,1,1,0,460
TABLEMAC,2002-02-05,20966,2984,3152,1,27069,1,0,460
TABLEMAC,2002-02-06,1,1,3152,1,1,1,0,460
TABLEMAC,2002-02-07,1,1,3152,1,1,1,0,460
TABLEMAC,2002-02-08,9371,43623,3136,3189,27069,3176,-408,17
TABLEMAC,2002-02-11,1,1,3136,1,1,1,0,460
TABLEMAC,2002-02-12,18023,53515,3136,1,27069,1,0,460
TABLEMAC,2002-02-13,1,1,3136,1,1,1,0,460
TABLEMAC,2002-02-14,1,1,3136,1,1,1,0,460
