Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
VALOREM,2006-07-24,34336,22492,3652,3930,29391,3473,0,460
VALOREM,2006-07-25,14513,51552,3652,3480,28237,3463,0,460
VALOREM,2006-07-26,6807,42839,3431,3506,28281,3467,-854,328
VALOREM,2006-07-27,44521,32303,3467,3610,28530,3508,114,854
VALOREM,2006-07-28,16606,405,3470,3582,28491,3493,023,537
VALOREM,2006-07-31,17655,2098,3518,3610,28762,3473,202,953
VALOREM,2006-08-01,295,35689,3518,3529,28482,3515,0,460
VALOREM,2006-08-02,27898,13327,3448,3559,28488,3493,-308,136
VALOREM,2006-08-03,2044,38341,3547,3655,28846,3473,455,689
VALOREM,2006-08-04,37327,25078,3547,3655,29067,3555,0,460
VALOREM,2006-08-08,40545,28622,3547,3655,29062,3600,0,460
VALOREM,2006-08-09,24838,11043,3565,3625,29100,3618,109,854
VALOREM,2006-08-10,31976,18699,3521,3610,28829,3549,-215,86
VALOREM,2006-08-11,41064,29188,3555,3625,29041,3574,154,913
VALOREM,2006-08-14,1,1,3555,1,1,1,0,460
VALOREM,2006-08-15,14562,52615,3592,3655,28799,3549,173,938
VALOREM,2006-08-16,34837,23438,3765,3835,29642,3600,617,755
VALOREM,2006-08-17,45621,36657,4042,4114,30645,3779,641,783
VALOREM,2006-08-18,30285,19132,3715,4021,30360,3779,-772,328
VALOREM,2006-08-22,1792,39871,3863,3930,29924,3713,204,552
VALOREM,2006-08-23,19135,5659,3715,3930,29830,3729,-2,86
VALOREM,2006-08-24,24320,11751,3738,3809,29834,3739,102,854
VALOREM,2006-08-25,18940,4945,3715,3784,29531,3681,-101,352
VALOREM,2006-08-28,39353,28014,3652,3717,29432,3649,-204,86
VALOREM,2006-08-29,5364,43256,3652,3723,29473,3649,0,460
VALOREM,2006-08-30,16799,1946,3592,3717,29265,3649,-208,86
VALOREM,2006-08-31,11559,49285,3592,3615,28975,3600,0,460
VALOREM,2006-09-01,25659,12715,3652,3723,29536,3713,213,552
VALOREM,2006-09-04,14836,53927,3652,3717,29362,3649,0,460
VALOREM,2006-09-05,29532,16726,3603,3717,29357,3649,-167,426
VALOREM,2006-09-06,21574,6904,3521,3625,28847,3570,-36,167
VALOREM,2006-09-07,14955,53833,3600,3663,29263,3600,352,634
VALOREM,2006-09-08,34062,21386,3547,3635,28985,3600,-234,100
VALOREM,2006-09-11,13926,50326,3547,3450,27960,3410,0,460
VALOREM,2006-09-12,14691,52504,3501,3572,28663,3521,-217,86
VALOREM,2006-09-13,27704,13427,3555,3617,28710,3515,267,585
VALOREM,2006-09-14,30632,17348,3555,3617,29022,3600,0,460
VALOREM,2006-09-15,13990,52161,3501,3619,28884,3549,-26,113
VALOREM,2006-09-18,27958,13833,3521,3582,28756,3555,111,854
VALOREM,2006-09-19,13464,51075,3501,3559,28575,3525,-11,352
VALOREM,2006-09-20,42752,30965,3552,3617,28980,3555,244,569
VALOREM,2006-09-21,43718,31969,3521,3610,28866,3570,-13,383
VALOREM,2006-09-22,36778,23802,3501,3559,28655,3549,-11,352
VALOREM,2006-09-25,30884,17014,3501,3559,28655,3549,0,460
VALOREM,2006-09-26,33347,20197,3521,3586,28760,3515,111,854
VALOREM,2006-09-27,3733,40293,3501,3610,28828,3549,-11,352
VALOREM,2006-09-28,35015,22453,3547,3655,28977,3600,222,552
VALOREM,2006-09-29,46233,34662,3521,3582,28798,3570,-109,352
VALOREM,2006-10-02,40771,29358,3616,3681,29290,3600,44,689
