Nemotecnico,fecha,Cantidad,Volumen,PrecioCierre,PrecioMayor,PrecioMedio,PrecioMenor,Variacion,VariacionAbsoluta
VALSIMESA,2002-01-03,1,1,5356,1,1,1,0,460
VALSIMESA,2002-01-04,1,1,5356,1,1,1,0,460
VALSIMESA,2002-01-08,1,1,5356,1,1,1,0,460
VALSIMESA,2002-01-09,10934,8136,5356,5426,37444,5417,0,460
VALSIMESA,2002-01-10,1,1,5356,1,1,1,0,460
VALSIMESA,2002-01-11,1,1,5356,1,1,1,0,460
VALSIMESA,2002-01-14,1,1,5356,1,1,1,0,460
VALSIMESA,2002-01-15,20003,18943,5356,1,37444,1,0,460
VALSIMESA,2002-01-16,45862,47700,5356,5426,37444,5417,0,460
VALSIMESA,2002-01-17,44757,46938,5402,5473,37751,5464,244,689
VALSIMESA,2002-01-18,2875,53324,5402,1,37814,1,0,460
VALSIMESA,2002-01-21,1,1,5402,1,1,1,0,460
VALSIMESA,2002-01-22,1,1,5402,1,1,1,0,460
VALSIMESA,2002-01-23,19072,18707,5423,5494,37888,5492,119,552
VALSIMESA,2002-01-24,29189,31379,5534,5607,38678,5599,471,823
VALSIMESA,2002-01-25,7727,6130,5521,5595,38534,5586,-056,352
VALSIMESA,2002-01-28,1,1,5521,1,1,1,0,460
VALSIMESA,2002-01-29,1,1,5521,1,1,1,0,460
VALSIMESA,2002-01-30,16664,16574,5512,5581,38408,5578,-056,352
VALSIMESA,2002-01-31,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-01,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-04,28169,29752,5512,1,38257,1,0,460
VALSIMESA,2002-02-05,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-06,26061,27348,5512,1,38257,1,0,460
VALSIMESA,2002-02-07,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-08,39902,42852,5512,5581,38474,5578,0,460
VALSIMESA,2002-02-11,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-12,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-13,13851,13590,5523,5599,38573,5588,068,888
VALSIMESA,2002-02-14,999,52330,5525,5599,38575,5590,011,537
VALSIMESA,2002-02-15,41673,44674,5512,5581,38474,5578,-079,403
VALSIMESA,2002-02-18,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-19,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-20,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-21,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-22,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-25,1,1,5512,1,1,1,0,460
VALSIMESA,2002-02-26,1,1,5512,1,1,1,0,460
