termcol	termrow	score	number
andres	andres	11	1
arias	andres	6	2
autoridad	andres	9	3
comunista	andres	8	4
criminales	andres	11	5
deputa	andres	1	6
excelente	andres	8	7
felipe	andres	5	8
hijo	andres	10	9
hijos	andres	9	10
malparidos	andres	5	11
moral	andres	11	12
narcocriminales	andres	6	13
pasaran	andres	2	14
perro	andres	8	15
procurador	andres	9	16
puta	andres	10	17
referirse	andres	1	18
sedor	andres	9	19
uribe	andres	11	20
andres	arias	6	1
arias	arias	6	2
autoridad	arias	6	3
comunista	arias	4	4
criminales	arias	6	5
deputa	arias	1	6
excelente	arias	4	7
felipe	arias	4	8
hijo	arias	5	9
hijos	arias	5	10
malparidos	arias	2	11
moral	arias	6	12
narcocriminales	arias	2	13
pasaran	arias	1	14
perro	arias	5	15
procurador	arias	4	16
puta	arias	5	17
referirse	arias	1	18
sedor	arias	4	19
uribe	arias	6	20
andres	autoridad	9	1
arias	autoridad	6	2
autoridad	autoridad	11	3
comunista	autoridad	9	4
criminales	autoridad	11	5
deputa	autoridad	1	6
excelente	autoridad	7	7
felipe	autoridad	5	8
hijo	autoridad	10	9
hijos	autoridad	10	10
malparidos	autoridad	6	11
moral	autoridad	9	12
narcocriminales	autoridad	4	13
pasaran	autoridad	2	14
perro	autoridad	10	15
procurador	autoridad	8	16
puta	autoridad	10	17
referirse	autoridad	1	18
sedor	autoridad	7	19
uribe	autoridad	11	20
andres	comunista	8	1
arias	comunista	4	2
autoridad	comunista	9	3
comunista	comunista	10	4
criminales	comunista	10	5
deputa	comunista	1	6
excelente	comunista	5	7
felipe	comunista	5	8
hijo	comunista	10	9
hijos	comunista	10	10
malparidos	comunista	6	11
moral	comunista	8	12
narcocriminales	comunista	4	13
pasaran	comunista	2	14
perro	comunista	9	15
procurador	comunista	9	16
puta	comunista	10	17
referirse	comunista	1	18
sedor	comunista	7	19
uribe	comunista	10	20
andres	criminales	11	1
arias	criminales	6	2
autoridad	criminales	11	3
comunista	criminales	10	4
criminales	criminales	13	5
deputa	criminales	1	6
excelente	criminales	8	7
felipe	criminales	5	8
hijo	criminales	12	9
hijos	criminales	11	10
malparidos	criminales	6	11
moral	criminales	11	12
narcocriminales	criminales	6	13
pasaran	criminales	2	14
perro	criminales	10	15
procurador	criminales	10	16
puta	criminales	12	17
referirse	criminales	1	18
sedor	criminales	9	19
uribe	criminales	13	20
andres	deputa	1	1
arias	deputa	1	2
autoridad	deputa	1	3
comunista	deputa	1	4
criminales	deputa	1	5
deputa	deputa	1	6
excelente	deputa	1	7
felipe	deputa	1	8
hijo	deputa	1	9
hijos	deputa	1	10
malparidos	deputa	1	11
moral	deputa	1	12
narcocriminales	deputa	0	13
pasaran	deputa	0	14
perro	deputa	1	15
procurador	deputa	1	16
puta	deputa	1	17
referirse	deputa	1	18
sedor	deputa	1	19
uribe	deputa	1	20
andres	excelente	8	1
arias	excelente	4	2
autoridad	excelente	7	3
comunista	excelente	5	4
criminales	excelente	8	5
deputa	excelente	1	6
excelente	excelente	8	7
felipe	excelente	3	8
hijo	excelente	7	9
hijos	excelente	6	10
malparidos	excelente	4	11
moral	excelente	8	12
narcocriminales	excelente	4	13
pasaran	excelente	2	14
perro	excelente	6	15
procurador	excelente	6	16
puta	excelente	7	17
referirse	excelente	1	18
sedor	excelente	7	19
uribe	excelente	8	20
andres	felipe	5	1
arias	felipe	4	2
autoridad	felipe	5	3
comunista	felipe	5	4
criminales	felipe	5	5
deputa	felipe	1	6
excelente	felipe	3	7
felipe	felipe	5	8
hijo	felipe	5	9
hijos	felipe	5	10
malparidos	felipe	3	11
moral	felipe	5	12
narcocriminales	felipe	1	13
pasaran	felipe	1	14
perro	felipe	5	15
procurador	felipe	5	16
puta	felipe	5	17
referirse	felipe	1	18
sedor	felipe	4	19
uribe	felipe	5	20
andres	hijo	10	1
arias	hijo	5	2
autoridad	hijo	10	3
comunista	hijo	10	4
criminales	hijo	12	5
deputa	hijo	1	6
excelente	hijo	7	7
felipe	hijo	5	8
hijo	hijo	12	9
hijos	hijo	11	10
malparidos	hijo	6	11
moral	hijo	10	12
narcocriminales	hijo	6	13
pasaran	hijo	2	14
perro	hijo	10	15
procurador	hijo	10	16
puta	hijo	12	17
referirse	hijo	1	18
sedor	hijo	9	19
uribe	hijo	12	20
andres	hijos	9	1
arias	hijos	5	2
autoridad	hijos	10	3
comunista	hijos	10	4
criminales	hijos	11	5
deputa	hijos	1	6
excelente	hijos	6	7
