"yearam"	"slamimp"
1549	166
1564	166
1573	139
1575	289
1585	762
1586	377
1587	1869
1588	1237
1589	1881
1590	842
1591	341
1592	336
1593	1349
1594	572
1595	4291
1596	2536
1597	3542
1598	3555
1599	4492
1600	4239
1601	3837
1609	1474
1610	1769
1611	600
1612	638
1614	656
1615	634
1616	1055
1617	1955
1618	1826
1619	3901
1620	5400
1621	6229
1622	4546
1623	2618
1624	1837
1625	1389
1626	1274
1627	1255
1628	1256
1629	1330
1630	905
1631	1590
1632	1165
1633	1049
1634	2055
1635	2556
1636	1418
1637	699
1638	796
1639	494
1640	120
1641	250
1652	518
1654	207
1655	259
1656	738
1658	359
1659	500
1660	174
1661	932
1667	391
1672	664
1679	466
1685	313
1697	133
1698	2593
1699	811
1700	1195
1701	1945
1703	1337
1704	756
1705	14
1709	343
1710	580
1711	245
1715	293
1716	206
1717	385
1729	217
1764	344
1788	158
1792	126
